================================================================================
XAUBOT AI — #17 Liquidity Sweep Backtest
Mode: FILTER | CV: relaxed (0.003) | Lookback: 30
================================================================================
Generated: 2026-02-07 15:13:05
Period: 2025-08-01 to 2026-02-07

--- SWEEP STATS ---
  BSL Sweeps Detected:    2577
  SSL Sweeps Detected:    1989
  Sweep-Confirmed Trades: 457
  Sweep-Blocked Trades:   202

--- PERFORMANCE ---
  Total Trades:    457
  Wins:            209
  Losses:          248
  Win Rate:        45.7%
  Net PnL:         $157.86
  Profit Factor:   1.45
  Max Drawdown:    0.6% ($31.79)
  Avg Win:         $2.42
  Avg Loss:        $1.41
  Expectancy:      $0.35
  Sharpe Ratio:    2.08

--- ENTRY SOURCE BREAKDOWN ---
  SWEEP+SMC   : 457 trades,  45.7% WR, $  157.86
  SMC         :   0 trades,   0.0% WR, $    0.00

--- EXIT REASONS ---
  timeout             :  205 ( 44.9%)
  max_loss            :   98 ( 21.4%)
  take_profit         :   88 ( 19.3%)
  weekend_close       :   19 (  4.2%)
  smart_tp            :   17 (  3.7%)
  market_signal       :   15 (  3.3%)
  peak_protect        :    7 (  1.5%)
  breakeven_exit      :    6 (  1.3%)
  trailing_sl         :    2 (  0.4%)

--- DIRECTION ---
  BUY: 267 trades, 50.2% WR, $113.25
  SELL: 190 trades, 39.5% WR, $44.61

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Sweep     Source
------------------------------------------------------------------------------------------------------------------------
 101 2025-09-10 02:00 SELL    3638.97    3623.46     1.55    WIN        take_profit   BSL  SWEEP+SMC
 102 2025-09-10 07:00  BUY    3641.06    3649.08     0.80    WIN            timeout   SSL  SWEEP+SMC
 103 2025-09-10 17:00  BUY    3653.69    3640.31    -1.34   LOSS           max_loss   SSL  SWEEP+SMC
 104 2025-09-10 20:45  BUY    3647.27    3638.52    -0.88   LOSS           max_loss   SSL  SWEEP+SMC
 105 2025-09-11 02:30  BUY    3644.27    3637.82    -0.64   LOSS           max_loss   SSL  SWEEP+SMC
 106 2025-09-11 07:45 SELL    3630.53    3621.71     0.88    WIN            timeout   BSL  SWEEP+SMC
 107 2025-09-11 16:15  BUY    3622.00    3637.97     1.60    WIN        take_profit   SSL  SWEEP+SMC
 108 2025-09-11 20:45  BUY    3634.90    3634.71    -0.02   LOSS            timeout   SSL  SWEEP+SMC
 109 2025-09-12 04:15  BUY    3642.63    3654.59     1.20    WIN           smart_tp   SSL  SWEEP+SMC
 110 2025-09-12 12:30  BUY    3644.50    3643.97    -0.05   LOSS            timeout   SSL  SWEEP+SMC
 111 2025-09-12 20:30  BUY    3649.39    3648.75    -0.13   LOSS      weekend_close   SSL  SWEEP+SMC
 112 2025-09-15 01:00  BUY    3643.67    3639.83    -0.38   LOSS           max_loss   SSL  SWEEP+SMC
 113 2025-09-15 04:15 SELL    3631.81    3645.23    -1.34   LOSS            timeout   BSL  SWEEP+SMC
 114 2025-09-15 10:45  BUY    3643.74    3642.53    -0.12   LOSS            timeout   SSL  SWEEP+SMC
 115 2025-09-15 17:15  BUY    3657.66    3680.33     2.27    WIN           smart_tp   SSL  SWEEP+SMC
 116 2025-09-15 23:00  BUY    3681.12    3680.02    -0.11   LOSS            timeout   SSL  SWEEP+SMC
 117 2025-09-16 06:30  BUY    3681.34    3689.20     0.79    WIN        take_profit   SSL  SWEEP+SMC
 118 2025-09-16 12:00  BUY    3694.91    3687.73    -1.44   LOSS            timeout   SSL  SWEEP+SMC
 119 2025-09-16 18:30 SELL    3680.21    3689.13    -1.78   LOSS            timeout   BSL  SWEEP+SMC
 120 2025-09-17 02:00  BUY    3694.06    3678.80    -1.53   LOSS           max_loss   SSL  SWEEP+SMC
 121 2025-09-17 08:45 SELL    3679.17    3674.55     0.46    WIN            timeout   BSL  SWEEP+SMC
 122 2025-09-17 18:00  BUY    3685.20    3659.97    -2.52   LOSS           max_loss   SSL  SWEEP+SMC
 123 2025-09-18 01:00 SELL    3663.18    3664.58    -0.14   LOSS            timeout   BSL  SWEEP+SMC
 124 2025-09-18 08:15 SELL    3657.79    3645.68     1.21    WIN        take_profit   BSL  SWEEP+SMC
 125 2025-09-18 11:30 SELL    3662.22    3670.96    -0.87   LOSS           max_loss   BSL  SWEEP+SMC
 126 2025-09-18 14:45  BUY    3666.98    3633.68    -3.33   LOSS           max_loss   SSL  SWEEP+SMC
 127 2025-09-18 20:30 SELL    3643.68    3638.32     0.54    WIN            timeout   BSL  SWEEP+SMC
 128 2025-09-19 06:00  BUY    3646.98    3652.55     0.56    WIN            timeout   SSL  SWEEP+SMC
 129 2025-09-19 16:30  BUY    3656.57    3676.64     4.01    WIN        take_profit   SSL  SWEEP+SMC
 130 2025-09-19 23:45  BUY    3684.58    3695.23     1.07    WIN            timeout   SSL  SWEEP+SMC
 131 2025-09-22 09:15  BUY    3706.06    3715.13     1.81    WIN            timeout   SSL  SWEEP+SMC
 132 2025-09-22 17:45  BUY    3725.74    3746.36     4.12    WIN        take_profit   SSL  SWEEP+SMC
 133 2025-09-22 23:15  BUY    3747.55    3743.36    -0.42   LOSS            timeout   SSL  SWEEP+SMC
 134 2025-09-23 08:00  BUY    3746.18    3760.72     1.45    WIN        take_profit   SSL  SWEEP+SMC
 135 2025-09-23 14:00  BUY    3780.20    3778.89    -0.13   LOSS            timeout   SSL  SWEEP+SMC
 136 2025-09-23 20:30  BUY    3777.96    3767.56    -2.08   LOSS           max_loss   SSL  SWEEP+SMC
 137 2025-09-24 01:15 SELL    3761.78    3764.42    -0.26   LOSS            timeout   BSL  SWEEP+SMC
 138 2025-09-24 09:00  BUY    3773.20    3764.89    -0.83   LOSS            timeout   SSL  SWEEP+SMC
 139 2025-09-24 15:30  BUY    3765.22    3758.93    -0.63   LOSS           max_loss   SSL  SWEEP+SMC
 140 2025-09-24 19:30 SELL    3738.41    3728.23     1.02    WIN      market_signal   BSL  SWEEP+SMC
 141 2025-09-25 01:15 SELL    3744.65    3733.99     1.07    WIN            timeout   BSL  SWEEP+SMC
 142 2025-09-25 09:45  BUY    3740.87    3754.57     1.37    WIN        take_profit   SSL  SWEEP+SMC
 143 2025-09-25 13:15  BUY    3756.80    3731.74    -5.01   LOSS           max_loss   SSL  SWEEP+SMC
 144 2025-09-25 18:45 SELL    3735.75    3746.44    -1.07   LOSS            timeout   BSL  SWEEP+SMC
 145 2025-09-26 02:15 SELL    3742.81    3752.28    -0.95   LOSS           max_loss   BSL  SWEEP+SMC
 146 2025-09-26 06:30 SELL    3744.93    3753.10    -0.82   LOSS           max_loss   BSL  SWEEP+SMC
 147 2025-09-26 11:45 SELL    3752.81    3742.86     0.99    WIN        take_profit   BSL  SWEEP+SMC
 148 2025-09-26 16:30  BUY    3758.11    3781.14     2.30    WIN        take_profit   SSL  SWEEP+SMC
 149 2025-09-26 19:45  BUY    3774.12    3778.76     0.46    WIN      weekend_close   SSL  SWEEP+SMC
 150 2025-09-29 01:15 SELL    3767.47    3783.10    -1.56   LOSS           max_loss   BSL  SWEEP+SMC
 151 2025-09-29 06:00  BUY    3797.14    3810.11     1.30    WIN            timeout   SSL  SWEEP+SMC
 152 2025-09-29 15:00  BUY    3824.35    3827.46     0.62    WIN            timeout   SSL  SWEEP+SMC
 153 2025-09-29 23:30  BUY    3830.56    3842.74     1.22    WIN        take_profit   SSL  SWEEP+SMC
 154 2025-09-30 06:30  BUY    3863.69    3866.85     0.32    WIN      market_signal   SSL  SWEEP+SMC
 155 2025-09-30 11:15 SELL    3823.53    3801.51     4.40    WIN      market_signal   BSL  SWEEP+SMC
 156 2025-09-30 17:45 SELL    3853.92    3854.98    -0.21   LOSS            timeout   BSL  SWEEP+SMC
 157 2025-10-01 02:30  BUY    3861.42    3860.64    -0.08   LOSS            timeout   SSL  SWEEP+SMC
 158 2025-10-01 09:30  BUY    3863.70    3876.16     1.25    WIN        take_profit   SSL  SWEEP+SMC
 159 2025-10-01 13:15  BUY    3886.30    3875.07    -1.12   LOSS            timeout   SSL  SWEEP+SMC
 160 2025-10-01 19:45 SELL    3870.73    3855.10     3.13    WIN        take_profit   BSL  SWEEP+SMC
 161 2025-10-01 23:30 SELL    3863.40    3864.82    -0.14   LOSS            timeout   BSL  SWEEP+SMC
 162 2025-10-02 07:15 SELL    3865.92    3872.11    -0.62   LOSS           max_loss   BSL  SWEEP+SMC
 163 2025-10-02 11:45  BUY    3874.35    3893.39     1.90    WIN        take_profit   SSL  SWEEP+SMC
 164 2025-10-02 18:45 SELL    3828.14    3855.52    -5.48   LOSS            timeout   BSL  SWEEP+SMC
 165 2025-10-03 02:15 SELL    3858.22    3847.97     1.03    WIN        take_profit   BSL  SWEEP+SMC
 166 2025-10-03 07:00 SELL    3845.34    3863.54    -1.82   LOSS           max_loss   BSL  SWEEP+SMC
 167 2025-10-03 13:00  BUY    3865.23    3882.25     3.40    WIN            timeout   SSL  SWEEP+SMC
 168 2025-10-03 23:45  BUY    3886.32    3900.62     1.43    WIN        take_profit   SSL  SWEEP+SMC
 169 2025-10-06 04:15  BUY    3902.90    3933.23     3.03    WIN        take_profit   SSL  SWEEP+SMC
 170 2025-10-06 09:30  BUY    3926.83    3931.51     0.94    WIN            timeout   SSL  SWEEP+SMC
 171 2025-10-06 18:15  BUY    3949.89    3973.92     4.81    WIN            timeout   SSL  SWEEP+SMC
 172 2025-10-07 05:45  BUY    3964.69    3955.74    -0.90   LOSS           max_loss   SSL  SWEEP+SMC
 173 2025-10-07 12:00 SELL    3958.62    3976.79    -3.63   LOSS           max_loss   BSL  SWEEP+SMC
 174 2025-10-07 18:15  BUY    3984.94    3979.83    -0.51   LOSS            timeout   SSL  SWEEP+SMC
 175 2025-10-08 01:45  BUY    3989.28    4019.49     3.02    WIN           smart_tp   SSL  SWEEP+SMC
 176 2025-10-08 09:30  BUY    4030.60    4033.70     0.31    WIN            timeout   SSL  SWEEP+SMC
 177 2025-10-08 19:15  BUY    4055.42    4043.74    -1.17   LOSS            timeout   SSL  SWEEP+SMC
 178 2025-10-09 02:45 SELL    4011.55    4026.63    -1.51   LOSS            timeout   BSL  SWEEP+SMC
 179 2025-10-09 09:30  BUY    4030.06    4031.02     0.10    WIN            timeout   SSL  SWEEP+SMC
 180 2025-10-09 19:00 SELL    4016.59    3954.78    12.36    WIN        take_profit   BSL  SWEEP+SMC
 181 2025-10-09 23:30 SELL    3974.44    3981.74    -0.73   LOSS            timeout   BSL  SWEEP+SMC
 182 2025-10-10 07:45 SELL    3966.09    3986.56    -2.05   LOSS           max_loss   BSL  SWEEP+SMC
 183 2025-10-10 13:30  BUY    3997.88    3982.14    -1.57   LOSS            timeout   SSL  SWEEP+SMC
 184 2025-10-10 20:15  BUY    3984.44    3995.14     1.07    WIN      weekend_close   SSL  SWEEP+SMC
 185 2025-10-13 01:00  BUY    4021.68    4065.27     4.36    WIN            timeout   SSL  SWEEP+SMC
 186 2025-10-13 11:30  BUY    4073.89    4115.54     4.17    WIN           smart_tp   SSL  SWEEP+SMC
 187 2025-10-13 23:15  BUY    4110.49    4140.49     3.00    WIN        take_profit   SSL  SWEEP+SMC
 188 2025-10-14 06:30  BUY    4161.80    4106.47    -5.53   LOSS           max_loss   SSL  SWEEP+SMC
 189 2025-10-14 11:45 SELL    4143.75    4126.69     3.41    WIN       peak_protect   BSL  SWEEP+SMC
 190 2025-10-14 20:00  BUY    4145.14    4168.31     4.63    WIN            timeout   SSL  SWEEP+SMC
 191 2025-10-15 05:30  BUY    4171.41    4197.91     2.65    WIN        take_profit   SSL  SWEEP+SMC
 192 2025-10-15 12:15  BUY    4189.94    4194.63     0.47    WIN            timeout   SSL  SWEEP+SMC
 193 2025-10-15 23:00  BUY    4208.91    4226.82     1.79    WIN            timeout   SSL  SWEEP+SMC
 194 2025-10-16 10:45  BUY    4230.48    4271.22     8.15    WIN        take_profit   SSL  SWEEP+SMC
 195 2025-10-16 20:45  BUY    4293.67    4329.00     7.07    WIN           smart_tp   SSL  SWEEP+SMC
 196 2025-10-17 03:15  BUY    4357.67    4361.41     0.37    WIN            timeout   SSL  SWEEP+SMC
 197 2025-10-17 11:45 SELL    4347.51    4301.01     9.30    WIN        take_profit   BSL  SWEEP+SMC
 198 2025-10-17 17:15 SELL    4240.63    4239.63     0.10    WIN     breakeven_exit   BSL  SWEEP+SMC
 199 2025-10-17 23:30  BUY    4247.04    4247.38     0.03    WIN      weekend_close   SSL  SWEEP+SMC
 200 2025-10-20 07:00  BUY    4261.62    4260.61    -0.10   LOSS            timeout   SSL  SWEEP+SMC
 201 2025-10-20 14:45  BUY    4279.10    4320.09     8.20    WIN           smart_tp   SSL  SWEEP+SMC
 202 2025-10-20 18:00  BUY    4346.12    4377.76     6.33    WIN      market_signal   SSL  SWEEP+SMC
 203 2025-10-21 02:15  BUY    4362.31    4346.07    -1.62   LOSS           max_loss   SSL  SWEEP+SMC
 204 2025-10-21 08:15 SELL    4332.95    4274.07     5.89    WIN        take_profit   BSL  SWEEP+SMC
 205 2025-10-21 13:30 SELL    4260.15    4173.85     8.63    WIN           smart_tp   BSL  SWEEP+SMC
 206 2025-10-21 23:00 SELL    4120.53    4082.36     3.82    WIN        take_profit   BSL  SWEEP+SMC
 207 2025-10-22 05:30 SELL    4112.22    4146.58    -3.44   LOSS           max_loss   BSL  SWEEP+SMC
 208 2025-10-22 10:45  BUY    4132.70    4106.93    -5.15   LOSS           max_loss   SSL  SWEEP+SMC
 209 2025-10-23 05:15  BUY    4081.00    4110.17     2.92    WIN        take_profit   SSL  SWEEP+SMC
 210 2025-10-23 11:15  BUY    4113.97    4109.01    -0.50   LOSS            timeout   SSL  SWEEP+SMC
 211 2025-10-23 18:00  BUY    4144.15    4134.94    -1.84   LOSS            timeout   SSL  SWEEP+SMC
 212 2025-10-24 01:30 SELL    4111.47    4143.32    -3.18   LOSS           max_loss   BSL  SWEEP+SMC
 213 2025-10-24 08:15  BUY    4112.45    4099.89    -1.26   LOSS           max_loss   SSL  SWEEP+SMC
 214 2025-10-24 11:30 SELL    4056.23    4082.95    -2.67   LOSS            timeout   BSL  SWEEP+SMC
 215 2025-10-24 18:00  BUY    4118.77    4106.91    -1.19   LOSS      weekend_close   SSL  SWEEP+SMC
 216 2025-10-27 00:00 SELL    4104.45    4077.43     2.70    WIN        take_profit   BSL  SWEEP+SMC
 217 2025-10-27 03:15 SELL    4093.26    4062.23     3.10    WIN        take_profit   BSL  SWEEP+SMC
 218 2025-10-27 08:30  BUY    4079.87    4053.55    -2.63   LOSS           max_loss   SSL  SWEEP+SMC
 219 2025-10-27 13:15 SELL    4030.03    4004.94     2.51    WIN       peak_protect   BSL  SWEEP+SMC
 220 2025-10-28 00:00 SELL    3985.16    4010.08    -2.49   LOSS           max_loss   BSL  SWEEP+SMC
 221 2025-10-28 06:15 SELL    3971.23    3921.59     4.96    WIN           smart_tp   BSL  SWEEP+SMC
 222 2025-10-28 13:00 SELL    3915.87    3959.00    -4.31   LOSS            timeout   BSL  SWEEP+SMC
 223 2025-10-28 19:30  BUY    3963.85    3943.33    -2.05   LOSS            timeout   SSL  SWEEP+SMC
 224 2025-10-29 03:00  BUY    3976.71    3955.71    -2.10   LOSS            timeout   SSL  SWEEP+SMC
