Ticket,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Profit USD,Profit Pips,Result,Exit Reason,Fuzzy Conf,Trajectory Pred,Peak Profit,Regime,Session
1000039,2025-10-16 08:00:00,2025-10-16 10:30:00,BUY,4226.82,4230.3,3.48,34.8,WIN,fuzzy_exit,1.000,0.00,6.65,ranging,London (Prime)
1000040,2025-10-16 12:00:00,2025-10-16 13:15:00,BUY,4229.91,4237.56,7.65,76.5,WIN,fuzzy_exit,0.900,0.00,9.43,ranging,London (Prime)
1000041,2025-10-16 19:00:00,2025-10-16 21:00:00,BUY,4278.58,4284.63,6.05,60.5,WIN,fuzzy_exit,1.000,0.00,15.09,ranging,Sydney-Tokyo (TEST MODE)
1000042,2025-10-16 22:45:00,2025-10-17 01:00:00,BUY,4307.05,4339.726578096331,32.68,326.8,WIN,take_profit,0.000,0.00,32.68,ranging,Sydney-Tokyo (TEST MODE)
1000043,2025-10-17 04:30:00,2025-10-17 05:45:00,BUY,4290.24,4346.42677275319,56.19,561.9,WIN,take_profit,0.000,0.00,56.19,ranging,Tokyo-London Transition
1000044,2025-10-17 07:15:00,2025-10-17 08:00:00,BUY,4358.36,4367.61,9.25,92.5,WIN,fuzzy_exit,1.000,0.00,17.87,ranging,London (Prime)
1000045,2025-10-17 09:30:00,2025-10-17 10:15:00,BUY,4363.96,4338.75,-25.21,-252.1,LOSS,max_loss,0.000,0.00,0.00,ranging,London (Prime)
1000046,2025-10-17 12:00:00,2025-10-17 14:30:00,BUY,4341.77,4307.39,-34.38,-343.8,LOSS,max_loss,0.000,0.00,0.00,ranging,London (Prime)
1000047,2025-10-20 02:45:00,2025-10-20 08:45:00,BUY,4237.6,4239.65,2.05,20.5,WIN,fuzzy_exit,1.000,17.32,29.03,ranging,Sydney-Tokyo (TEST MODE)
1000048,2025-10-20 10:00:00,2025-10-20 10:45:00,BUY,4254.48,4254.97,0.49,4.9,WIN,fuzzy_exit,1.000,0.00,4.68,ranging,London (Prime)
1000049,2025-10-20 12:00:00,2025-10-20 13:00:00,BUY,4252.75,4253.76,1.01,10.1,WIN,fuzzy_exit,1.000,0.00,7.83,ranging,London (Prime)
1000050,2025-10-20 14:45:00,2025-10-20 15:30:00,BUY,4279.1,4307.133602070597,28.03,280.3,WIN,take_profit,0.000,0.00,28.03,ranging,NY Early
1000051,2025-10-20 18:15:00,2025-10-20 20:30:00,SELL,4345.4,4345.3,0.10,1.0,WIN,fuzzy_exit,1.000,0.00,3.26,ranging,Sydney-Tokyo (TEST MODE)
1000052,2025-10-20 23:15:00,2025-10-20 23:45:00,BUY,4354.06,4355.96,1.90,19.0,WIN,fuzzy_exit,0.800,0.00,3.04,ranging,Sydney-Tokyo (TEST MODE)
1000053,2025-10-21 02:15:00,2025-10-21 03:45:00,BUY,4362.31,4368.58,6.27,62.7,WIN,fuzzy_exit,0.900,0.00,7.48,ranging,Sydney-Tokyo (TEST MODE)
1000054,2025-10-21 05:00:00,2025-10-21 06:30:00,BUY,4345.4,4347.31,1.91,19.1,WIN,fuzzy_exit,1.000,0.00,4.96,ranging,Tokyo-London Transition
1000055,2025-10-21 08:00:00,2025-10-21 10:30:00,BUY,4334.64,4300.85,-33.79,-337.9,LOSS,max_loss,0.000,0.00,8.40,ranging,London (Prime)
1000056,2025-10-21 15:30:00,2025-10-21 16:45:00,BUY,4217.97,4173.85,-44.12,-441.2,LOSS,max_loss,0.000,0.00,0.00,ranging,Late NY (TEST MODE)
1000057,2025-10-22 01:00:00,2025-10-22 01:45:00,BUY,4118.12,4122.91,4.79,47.9,WIN,fuzzy_exit,1.000,0.00,6.95,ranging,Sydney-Tokyo (TEST MODE)
1000058,2025-10-22 08:45:00,2025-10-22 10:00:00,BUY,4134.78,4137.24,2.46,24.6,WIN,fuzzy_exit,1.000,0.00,24.40,ranging,London (Prime)
1000059,2025-10-23 02:15:00,2025-10-23 02:45:00,BUY,4085.87,4087.48,1.61,16.1,WIN,fuzzy_exit,0.800,0.00,2.87,ranging,Sydney-Tokyo (TEST MODE)
1000060,2025-10-23 04:15:00,2025-10-23 06:30:00,BUY,4086.98,4093.18,6.20,62.0,WIN,fuzzy_exit,0.900,0.00,8.19,ranging,Tokyo-London Transition
1000061,2025-10-23 08:30:00,2025-10-23 09:00:00,BUY,4096.55,4125.789698857623,29.24,292.4,WIN,take_profit,0.000,0.00,29.24,ranging,London (Prime)
1000062,2025-10-23 10:30:00,2025-10-23 12:30:00,BUY,4102.79,4114.37,11.58,115.8,WIN,fuzzy_exit,1.000,0.00,19.05,ranging,London (Prime)
1000063,2025-10-23 14:00:00,2025-10-23 17:00:00,BUY,4116.24,4151.079333019195,34.84,348.4,WIN,take_profit,0.000,0.00,34.84,ranging,NY Early
1000064,2025-10-23 19:15:00,2025-10-23 23:00:00,BUY,4140.34,4113.05,-27.29,-272.9,LOSS,max_loss,0.000,0.00,2.24,ranging,Sydney-Tokyo (TEST MODE)
1000065,2025-10-24 01:15:00,2025-10-24 03:30:00,BUY,4121.85,4127.47,5.62,56.2,WIN,fuzzy_exit,1.000,0.00,10.84,ranging,Sydney-Tokyo (TEST MODE)
1000066,2025-10-24 05:15:00,2025-10-24 07:00:00,BUY,4111.7,4116.13,4.43,44.3,WIN,fuzzy_exit,1.000,0.00,10.39,ranging,Tokyo-London Transition
1000067,2025-10-24 08:15:00,2025-10-24 09:00:00,BUY,4112.45,4083.35,-29.10,-291.0,LOSS,max_loss,0.000,0.00,0.00,ranging,London (Prime)
1000068,2025-10-24 10:45:00,2025-10-24 15:45:00,BUY,4074.11,4081.49,7.38,73.8,WIN,fuzzy_exit,0.900,174.11,8.84,ranging,London (Prime)
1000069,2025-10-24 20:15:00,2025-10-27 00:15:00,BUY,4120.85,4091.56,-29.29,-292.9,LOSS,max_loss,0.000,0.00,0.00,ranging,Sydney-Tokyo (TEST MODE)
1000070,2025-10-27 01:30:00,2025-10-27 02:15:00,BUY,4067.3,4067.65,0.35,3.5,WIN,fuzzy_exit,1.000,0.00,1.82,ranging,Sydney-Tokyo (TEST MODE)
1000071,2025-10-27 04:00:00,2025-10-27 07:30:00,BUY,4078.45,4079.64,1.19,11.9,WIN,fuzzy_exit,1.000,44.76,3.08,ranging,Tokyo-London Transition
1000072,2025-10-27 09:15:00,2025-10-27 09:45:00,BUY,4068.19,4068.68,0.49,4.9,WIN,fuzzy_exit,0.800,0.00,2.12,ranging,London (Prime)
1000073,2025-10-27 11:00:00,2025-10-27 11:45:00,BUY,4036.24,4039.67,3.43,34.3,WIN,fuzzy_exit,1.000,0.00,6.39,ranging,London (Prime)
1000074,2025-10-27 14:00:00,2025-10-27 15:00:00,BUY,4032.39,4039.5,7.11,71.1,WIN,fuzzy_exit,1.000,0.00,13.11,ranging,NY Early
1000075,2025-10-27 21:15:00,2025-10-28 00:45:00,BUY,3989.02,3989.77,0.75,7.5,WIN,fuzzy_exit,1.000,0.00,10.67,ranging,Sydney-Tokyo (TEST MODE)
1000076,2025-10-28 02:00:00,2025-10-28 03:00:00,BUY,3986.17,4015.6307854043166,29.46,294.6,WIN,take_profit,0.000,0.00,29.46,ranging,Sydney-Tokyo (TEST MODE)
1000077,2025-10-28 05:00:00,2025-10-28 07:30:00,BUY,3989.06,3960.31,-28.75,-287.5,LOSS,max_loss,0.000,0.00,3.51,ranging,Tokyo-London Transition
1000078,2025-10-28 14:45:00,2025-10-28 15:30:00,BUY,3912.58,3922.54,9.96,99.6,WIN,fuzzy_exit,1.000,0.00,19.76,ranging,NY Early
1000079,2025-10-28 17:00:00,2025-10-28 18:00:00,BUY,3959.0,3963.25,4.25,42.5,WIN,fuzzy_exit,0.900,0.00,5.58,ranging,Sydney-Tokyo (TEST MODE)
1000080,2025-10-28 20:15:00,2025-10-29 02:00:00,BUY,3954.5,3961.74,7.24,72.4,WIN,fuzzy_exit,0.900,9.88,9.88,ranging,Sydney-Tokyo (TEST MODE)
1000081,2025-10-29 04:15:00,2025-10-29 05:45:00,BUY,3963.19,3963.24,0.05,0.5,WIN,fuzzy_exit,1.000,0.00,6.27,ranging,Tokyo-London Transition
1000082,2025-10-29 07:00:00,2025-10-29 07:45:00,BUY,3955.71,3962.25,6.54,65.4,WIN,fuzzy_exit,0.900,0.00,9.00,ranging,London (Prime)
1000083,2025-10-29 14:00:00,2025-10-29 17:45:00,BUY,4028.3,3992.82,-35.48,-354.8,LOSS,max_loss,0.000,0.00,0.00,ranging,NY Early
1000084,2025-10-30 04:15:00,2025-10-30 06:30:00,BUY,3933.6,3975.7083046177395,42.11,421.1,WIN,take_profit,0.000,0.00,42.11,ranging,Tokyo-London Transition
1000085,2025-10-30 11:00:00,2025-10-30 13:00:00,BUY,4005.02,3977.11,-27.91,-279.1,LOSS,max_loss,0.000,0.00,0.30,ranging,London (Prime)
1000086,2025-10-30 14:30:00,2025-10-30 16:00:00,BUY,3976.95,4011.9206838377922,34.97,349.7,WIN,take_profit,0.000,0.00,34.97,ranging,NY Early
1000087,2025-10-30 21:00:00,2025-10-31 01:00:00,BUY,4024.74,4027.12,2.38,23.8,WIN,fuzzy_exit,1.000,95.04,12.91,ranging,Sydney-Tokyo (TEST MODE)
1000088,2025-10-31 03:30:00,2025-10-31 05:00:00,BUY,4023.93,3993.86,-30.07,-300.7,LOSS,max_loss,0.000,0.00,0.00,ranging,Tokyo-London Transition
1000089,2025-10-31 06:15:00,2025-10-31 07:45:00,BUY,4000.65,4004.84,4.19,41.9,WIN,fuzzy_exit,0.900,0.00,5.63,ranging,Tokyo-London Transition
1000090,2025-10-31 09:45:00,2025-10-31 10:15:00,BUY,4020.99,4021.22,0.23,2.3,WIN,fuzzy_exit,0.800,0.00,2.00,ranging,London (Prime)
1000091,2025-10-31 12:30:00,2025-10-31 14:45:00,BUY,4010.22,4022.81,12.59,125.9,WIN,fuzzy_exit,1.000,0.00,19.10,ranging,London (Prime)
1000092,2025-11-03 01:00:00,2025-11-03 02:00:00,BUY,3996.24,3968.24,-28.00,-280.0,LOSS,max_loss,0.000,0.00,0.00,ranging,Sydney-Tokyo (TEST MODE)
1000093,2025-11-03 06:45:00,2025-11-03 10:15:00,BUY,4003.55,4014.27,10.72,107.2,WIN,fuzzy_exit,1.000,18.01,21.52,ranging,Tokyo-London Transition
1000094,2025-11-03 11:30:00,2025-11-03 12:00:00,BUY,3997.08,3997.34,0.26,2.6,WIN,fuzzy_exit,0.800,0.00,3.26,ranging,London (Prime)
1000095,2025-11-03 13:45:00,2025-11-03 16:15:00,BUY,4007.45,4010.24,2.79,27.9,WIN,fuzzy_exit,1.000,0.00,9.77,ranging,NY Early
1000096,2025-11-03 18:00:00,2025-11-03 19:15:00,BUY,4004.59,4006.86,2.27,22.7,WIN,fuzzy_exit,1.000,0.00,3.71,ranging,Sydney-Tokyo (TEST MODE)
1000097,2025-11-03 21:00:00,2025-11-03 22:30:00,BUY,4003.4,4009.25,5.85,58.5,WIN,fuzzy_exit,0.900,0.00,8.07,ranging,Sydney-Tokyo (TEST MODE)
1000098,2025-11-04 01:00:00,2025-11-04 02:00:00,BUY,3988.01,3994.52,6.51,65.1,WIN,fuzzy_exit,1.000,0.00,9.57,ranging,Sydney-Tokyo (TEST MODE)
1000099,2025-11-04 04:15:00,2025-11-04 06:00:00,BUY,3983.81,3988.59,4.78,47.8,WIN,fuzzy_exit,1.000,0.00,10.48,ranging,Tokyo-London Transition
1000100,2025-11-04 07:45:00,2025-11-04 09:15:00,BUY,3972.92,3995.939810167052,23.02,230.2,WIN,take_profit,0.000,0.00,23.02,ranging,London (Prime)
1000101,2025-11-04 12:15:00,2025-11-04 12:45:00,BUY,3991.78,3993.83,2.05,20.5,WIN,fuzzy_exit,0.800,0.00,3.64,ranging,London (Prime)
1000102,2025-11-04 20:00:00,2025-11-05 05:00:00,BUY,3950.44,3952.76,2.32,23.2,WIN,timeout,0.200,22.91,2.32,ranging,Sydney-Tokyo (TEST MODE)
1000103,2025-11-05 06:30:00,2025-11-05 11:00:00,BUY,3971.28,3975.43,4.15,41.5,WIN,fuzzy_exit,1.000,8.54,10.71,ranging,Tokyo-London Transition
1000104,2025-11-05 12:15:00,2025-11-05 16:30:00,BUY,3964.56,3976.09,11.53,115.3,WIN,fuzzy_exit,1.000,27.89,19.15,ranging,London (Prime)
1000105,2025-11-06 01:00:00,2025-11-06 02:15:00,BUY,3969.7,3973.44,3.74,37.4,WIN,fuzzy_exit,0.900,0.00,5.23,ranging,Sydney-Tokyo (TEST MODE)
1000106,2025-11-06 03:45:00,2025-11-06 08:30:00,BUY,3976.48,3984.22,7.74,77.4,WIN,fuzzy_exit,1.000,10.59,13.38,ranging,Tokyo-London Transition
1000107,2025-11-06 10:45:00,2025-11-06 17:00:00,BUY,4014.84,3982.52,-32.32,-323.2,LOSS,max_loss,0.000,0.00,3.26,ranging,London (Prime)
1000108,2025-11-06 19:30:00,2025-11-06 20:00:00,BUY,3981.71,3983.98,2.27,22.7,WIN,fuzzy_exit,0.800,0.00,4.47,ranging,Sydney-Tokyo (TEST MODE)
1000109,2025-11-07 03:00:00,2025-11-07 09:15:00,BUY,3998.71,4003.55,4.84,48.4,WIN,fuzzy_exit,1.000,8.85,8.85,ranging,Tokyo-London Transition
1000110,2025-11-07 14:00:00,2025-11-07 18:30:00,BUY,4005.56,4022.6591866516355,17.10,171.0,WIN,take_profit,0.000,0.00,17.10,ranging,NY Early
1000111,2025-11-07 22:30:00,2025-11-07 23:00:00,BUY,4001.08,4002.59,1.51,15.1,WIN,fuzzy_exit,0.800,0.00,2.85,ranging,Sydney-Tokyo (TEST MODE)
1000112,2025-11-10 07:00:00,2025-11-10 07:45:00,BUY,4050.19,4069.0566865319,18.87,188.7,WIN,take_profit,0.000,0.00,18.87,ranging,London (Prime)
1000113,2025-11-10 11:00:00,2025-11-10 11:45:00,BUY,4074.82,4076.57,1.75,17.5,WIN,fuzzy_exit,1.000,0.00,6.14,ranging,London (Prime)
1000114,2025-11-10 16:15:00,2025-11-10 17:30:00,BUY,4086.19,4087.49,1.30,13.0,WIN,fuzzy_exit,1.000,0.00,2.96,ranging,Late NY (TEST MODE)
1000115,2025-11-11 07:00:00,2025-11-11 11:45:00,BUY,4140.52,4141.87,1.35,13.5,WIN,fuzzy_exit,1.000,2.97,3.17,ranging,London (Prime)
1000116,2025-11-11 14:00:00,2025-11-11 16:00:00,BUY,4138.91,4139.38,0.47,4.7,WIN,fuzzy_exit,1.000,0.00,3.58,ranging,NY Early
1000117,2025-11-12 01:30:00,2025-11-12 05:45:00,BUY,4143.35,4111.8,-31.55,-315.5,LOSS,max_loss,0.000,0.00,0.35,ranging,Sydney-Tokyo (TEST MODE)
1000118,2025-11-12 07:00:00,2025-11-12 09:30:00,BUY,4107.75,4114.15,6.40,64.0,WIN,fuzzy_exit,1.000,0.00,16.89,ranging,London (Prime)
1000119,2025-11-12 12:15:00,2025-11-12 13:15:00,BUY,4120.61,4124.18,3.57,35.7,WIN,fuzzy_exit,1.000,0.00,10.29,ranging,London (Prime)
1000120,2025-11-12 15:45:00,2025-11-12 17:00:00,BUY,4127.06,4147.297054511013,20.24,202.4,WIN,take_profit,0.000,0.00,20.24,ranging,Late NY (TEST MODE)
1000121,2025-11-12 23:00:00,2025-11-12 23:45:00,BUY,4192.7,4196.28,3.58,35.8,WIN,fuzzy_exit,0.900,0.00,4.85,ranging,Sydney-Tokyo (TEST MODE)
1000122,2025-11-13 02:00:00,2025-11-13 03:00:00,BUY,4187.84,4190.78,2.94,29.4,WIN,fuzzy_exit,1.000,0.00,17.88,ranging,Sydney-Tokyo (TEST MODE)
1000123,2025-11-13 04:15:00,2025-11-13 04:45:00,BUY,4187.67,4190.13,2.46,24.6,WIN,fuzzy_exit,0.800,0.00,4.33,ranging,Tokyo-London Transition
1000124,2025-11-13 07:00:00,2025-11-13 11:15:00,BUY,4217.33,4226.81,9.48,94.8,WIN,fuzzy_exit,1.000,18.42,19.98,ranging,London (Prime)
1000125,2025-11-13 13:15:00,2025-11-13 15:00:00,BUY,4222.93,4230.26,7.33,73.3,WIN,fuzzy_exit,1.000,0.00,19.57,ranging,NY Early
1000126,2025-11-13 16:15:00,2025-11-13 20:30:00,BUY,4210.94,4155.7,-55.24,-552.4,LOSS,max_loss,0.000,0.00,0.00,ranging,Late NY (TEST MODE)
1000127,2025-11-14 02:45:00,2025-11-14 06:00:00,BUY,4183.73,4199.77,16.04,160.4,WIN,fuzzy_exit,1.000,20.58,26.91,ranging,Sydney-Tokyo (TEST MODE)
1000128,2025-11-14 07:45:00,2025-11-14 09:15:00,BUY,4189.7,4163.26,-26.44,-264.4,LOSS,max_loss,0.000,0.00,0.00,ranging,London (Prime)
1000129,2025-11-14 12:00:00,2025-11-14 13:45:00,BUY,4165.35,4132.91,-32.44,-324.4,LOSS,max_loss,0.000,0.00,2.42,ranging,London (Prime)
1000130,2025-11-17 02:30:00,2025-11-17 03:45:00,BUY,4089.82,4091.19,1.37,13.7,WIN,fuzzy_exit,1.000,0.00,8.93,ranging,Sydney-Tokyo (TEST MODE)
1000131,2025-11-17 06:45:00,2025-11-17 10:15:00,BUY,4078.31,4081.02,2.71,27.1,WIN,fuzzy_exit,1.000,11.74,11.74,ranging,Tokyo-London Transition
1000132,2025-11-17 12:45:00,2025-11-17 14:45:00,BUY,4070.12,4077.07,6.95,69.5,WIN,fuzzy_exit,1.000,0.00,12.32,ranging,London (Prime)
1000133,2025-11-17 16:00:00,2025-11-17 19:30:00,BUY,4073.46,4075.37,1.91,19.1,WIN,fuzzy_exit,1.000,3.91,3.91,ranging,Late NY (TEST MODE)
1000134,2025-11-17 21:15:00,2025-11-17 21:30:00,BUY,4056.5,4019.38,-37.12,-371.2,LOSS,max_loss,0.000,0.00,0.00,ranging,Sydney-Tokyo (TEST MODE)
1000135,2025-11-18 02:15:00,2025-11-18 03:30:00,BUY,4030.69,4032.87,2.18,21.8,WIN,fuzzy_exit,1.000,0.00,10.06,ranging,Sydney-Tokyo (TEST MODE)
1000136,2025-11-18 05:30:00,2025-11-18 10:15:00,BUY,4021.95,4022.11,0.16,1.6,WIN,fuzzy_exit,1.000,82.33,3.08,ranging,Tokyo-London Transition
1000137,2025-11-18 11:45:00,2025-11-18 13:30:00,BUY,4040.09,4044.71,4.62,46.2,WIN,fuzzy_exit,1.000,0.00,8.29,ranging,London (Prime)
1000138,2025-11-18 14:45:00,2025-11-18 15:30:00,BUY,4032.27,4057.018030886496,24.75,247.5,WIN,take_profit,0.000,0.00,24.75,ranging,NY Early
1000139,2025-11-18 17:45:00,2025-11-18 19:15:00,BUY,4052.79,4061.44,8.65,86.5,WIN,fuzzy_exit,1.000,0.00,13.95,ranging,Sydney-Tokyo (TEST MODE)
1000140,2025-11-19 03:45:00,2025-11-19 05:45:00,BUY,4058.94,4066.83,7.89,78.9,WIN,fuzzy_exit,1.000,0.00,19.21,ranging,Tokyo-London Transition
1000141,2025-11-19 07:15:00,2025-11-19 08:15:00,BUY,4088.61,4092.24,3.63,36.3,WIN,fuzzy_exit,1.000,0.00,8.18,ranging,London (Prime)
1000142,2025-11-19 10:45:00,2025-11-19 11:45:00,BUY,4083.38,4105.36820494893,21.99,219.9,WIN,take_profit,0.000,0.00,21.99,ranging,London (Prime)
1000143,2025-11-19 13:15:00,2025-11-19 14:45:00,BUY,4114.24,4114.5,0.26,2.6,WIN,fuzzy_exit,1.000,0.00,3.02,ranging,NY Early
1000144,2025-11-19 16:15:00,2025-11-19 17:15:00,BUY,4106.76,4131.762871932412,25.00,250.0,WIN,take_profit,0.000,0.00,25.00,ranging,Late NY (TEST MODE)
1000145,2025-11-20 01:00:00,2025-11-20 03:00:00,BUY,4087.85,4097.5,9.65,96.5,WIN,fuzzy_exit,1.000,0.00,17.76,ranging,Sydney-Tokyo (TEST MODE)
1000146,2025-11-20 04:15:00,2025-11-20 05:30:00,BUY,4054.91,4065.88,10.97,109.7,WIN,fuzzy_exit,1.000,0.00,23.14,ranging,Tokyo-London Transition
1000147,2025-11-20 07:00:00,2025-11-20 10:15:00,BUY,4071.25,4045.8,-25.45,-254.5,LOSS,max_loss,0.000,0.00,2.29,ranging,London (Prime)
1000148,2025-11-20 12:00:00,2025-11-20 12:45:00,BUY,4059.54,4059.93,0.39,3.9,WIN,fuzzy_exit,1.000,0.00,3.75,ranging,London (Prime)
