================================================================================
#15 SMC + RTM Compression Filter — Backtest Log
================================================================================
Period: 2025-08-01 to 2026-02-07
Compression: lookback=8, min_score=40

Compression Filter: 1239 blocked, 566 passed (68.6% filtered)
Avg Compression Score: 30.4

Trades: 566 | WR: 71.0% | Net: $908.07
PF: 1.32 | DD: 5.5% | Sharpe: 1.46
Avg Win: $9.33 | Avg Loss: $17.34
vs Baseline: $-541.79

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason CmpScore
--------------------------------------------------------------------------------------------------------------
  59 2025-08-22 06:00 SELL    3332.30    3330.30     2.00    WIN     breakeven_exit     50.0
  60 2025-08-22 11:30 SELL    3328.07    3326.07     4.00    WIN     breakeven_exit     40.0
  61 2025-08-22 18:15  BUY    3376.71    3372.08    -9.26   LOSS      weekend_close     50.0
  62 2025-08-25 01:15 SELL    3367.79    3365.79     2.00    WIN     breakeven_exit     50.0
  63 2025-08-25 06:30 SELL    3367.41    3365.41     2.00    WIN     breakeven_exit     40.0
  64 2025-08-25 11:30  BUY    3363.91    3365.91     4.00    WIN     breakeven_exit     40.0
  65 2025-08-25 18:15  BUY    3373.98    3372.33    -3.30   LOSS     trend_reversal     40.0
  66 2025-08-26 04:15  BUY    3373.77    3375.77     2.00    WIN     breakeven_exit     40.0
  67 2025-08-26 08:00  BUY    3374.96    3376.96     2.00    WIN     breakeven_exit     40.0
  68 2025-08-26 15:00  BUY    3377.82    3379.82     4.00    WIN     breakeven_exit     50.0
  69 2025-08-26 20:45  BUY    3381.59    3389.94    16.70    WIN        trailing_sl     70.0
  70 2025-08-27 05:15 SELL    3385.60    3373.96    11.64    WIN        take_profit     40.0
  71 2025-08-27 12:00  BUY    3384.58    3376.38   -16.40   LOSS          early_cut     40.0
  72 2025-08-27 19:00  BUY    3388.84    3396.42    15.16    WIN      market_signal     60.0
  73 2025-08-27 23:15  BUY    3395.70    3397.70     2.00    WIN     breakeven_exit     50.0
  74 2025-08-28 05:15 SELL    3386.74    3395.25    -8.51   LOSS            timeout     50.0
  75 2025-08-28 17:30  BUY    3411.71    3418.84    14.26    WIN        trailing_sl     50.0
  76 2025-08-29 08:00 SELL    3407.67    3412.01    -4.34   LOSS     trend_reversal     70.0
  77 2025-08-29 13:30 SELL    3407.00    3416.35   -18.70   LOSS          early_cut     40.0
  78 2025-08-29 18:45  BUY    3445.42    3447.42     2.00    WIN     breakeven_exit     50.0
  79 2025-09-01 02:00  BUY    3448.78    3460.68    11.90    WIN        take_profit     50.0
  80 2025-09-01 07:30  BUY    3474.74    3476.74     2.00    WIN     breakeven_exit     70.0
  81 2025-09-01 11:15  BUY    3478.93    3471.32   -15.22   LOSS          early_cut     40.0
  82 2025-09-01 14:45  BUY    3469.95    3474.87     9.84    WIN        trailing_sl     60.0
  83 2025-09-01 19:45  BUY    3477.20    3480.10     2.90    WIN     breakeven_exit     80.0
  84 2025-09-02 06:15  BUY    3493.21    3495.21     2.00    WIN     breakeven_exit     70.0
  85 2025-09-02 10:30 SELL    3484.11    3479.63     8.96    WIN     breakeven_exit     40.0
  86 2025-09-02 16:45 SELL    3489.48    3502.16   -25.36   LOSS           max_loss     40.0
  87 2025-09-02 19:45  BUY    3527.62    3536.30     8.68    WIN      market_signal     50.0
  88 2025-09-03 01:45  BUY    3529.09    3537.21     8.12    WIN        trailing_sl     60.0
  89 2025-09-03 06:30  BUY    3530.23    3534.30     4.07    WIN        trailing_sl     40.0
  90 2025-09-03 12:15  BUY    3538.13    3545.63    15.00    WIN        trailing_sl     70.0
  91 2025-09-03 18:15  BUY    3564.49    3575.12    10.63    WIN        trailing_sl     60.0
  92 2025-09-04 01:30  BUY    3562.34    3552.27   -10.07   LOSS     trend_reversal     40.0
  93 2025-09-04 07:00 SELL    3530.89    3528.89     2.00    WIN     breakeven_exit     50.0
  94 2025-09-04 11:30  BUY    3541.91    3543.91     4.00    WIN     breakeven_exit     50.0
  95 2025-09-04 18:00  BUY    3546.70    3550.79     4.09    WIN        trailing_sl     50.0
  96 2025-09-04 23:15  BUY    3549.61    3551.90     2.29    WIN     breakeven_exit    100.0
  97 2025-09-05 07:15  BUY    3557.60    3550.01    -7.59   LOSS     trend_reversal     80.0
  98 2025-09-05 13:45  BUY    3551.63    3562.09    20.91    WIN        take_profit     50.0
  99 2025-09-05 18:45  BUY    3591.77    3596.40     9.26    WIN     breakeven_exit     40.0
 100 2025-09-05 23:30 SELL    3589.84    3587.44     2.40    WIN      weekend_close     60.0
 101 2025-09-08 06:45 SELL    3583.46    3597.47   -14.01   LOSS     trend_reversal     70.0
 102 2025-09-08 12:45  BUY    3613.71    3617.99     4.28    WIN     breakeven_exit     60.0
 103 2025-09-08 19:15  BUY    3641.13    3633.92    -7.21   LOSS            timeout     40.0
 104 2025-09-09 07:00  BUY    3648.30    3653.87     5.57    WIN     breakeven_exit     40.0
 105 2025-09-09 13:00 SELL    3653.52    3651.52     4.00    WIN     breakeven_exit     80.0
 106 2025-09-09 18:00  BUY    3634.98    3637.09     2.11    WIN        trailing_sl     40.0
 107 2025-09-09 23:00 SELL    3630.49    3628.49     2.00    WIN     breakeven_exit     40.0
 108 2025-09-10 07:00  BUY    3641.06    3643.06     2.00    WIN     breakeven_exit     60.0
 109 2025-09-10 12:45  BUY    3655.14    3650.62    -9.04   LOSS     trend_reversal     40.0
 110 2025-09-10 20:45  BUY    3647.27    3639.76    -7.51   LOSS            timeout     60.0
 111 2025-09-11 07:00 SELL    3633.64    3631.64     2.00    WIN     breakeven_exit     40.0
 112 2025-09-11 11:30 SELL    3626.64    3620.06    13.16    WIN        trailing_sl     60.0
 113 2025-09-11 15:00 SELL    3619.76    3637.05   -34.58   LOSS           max_loss     40.0
 114 2025-09-11 18:30  BUY    3634.43    3636.92     2.49    WIN     breakeven_exit     70.0
 115 2025-09-11 23:00  BUY    3635.70    3631.76    -3.94   LOSS     trend_reversal     60.0
 116 2025-09-12 06:30  BUY    3651.21    3654.78     3.57    WIN      market_signal     40.0
 117 2025-09-12 13:15  BUY    3650.65    3642.46   -16.38   LOSS          early_cut     50.0
 118 2025-09-12 17:45  BUY    3647.98    3648.75     1.54    WIN      weekend_close     50.0
 119 2025-09-15 01:00  BUY    3643.67    3633.34   -10.33   LOSS     trend_reversal     50.0
 120 2025-09-15 07:00  BUY    3645.88    3636.45    -9.43   LOSS     trend_reversal     70.0
 121 2025-09-15 18:00  BUY    3664.77    3684.18    19.41    WIN      market_signal     40.0
 122 2025-09-15 23:00  BUY    3681.12    3683.12     2.00    WIN        trailing_sl     60.0
 123 2025-09-16 07:00  BUY    3682.31    3693.92    11.61    WIN        take_profit     70.0
 124 2025-09-16 12:30  BUY    3696.42    3689.30   -14.24   LOSS     trend_reversal     70.0
 125 2025-09-16 19:00 SELL    3687.20    3690.53    -6.66   LOSS     trend_reversal     50.0
 126 2025-09-17 01:15  BUY    3690.91    3692.91     2.00    WIN     breakeven_exit     40.0
 127 2025-09-17 06:00 SELL    3681.65    3678.86     2.79    WIN        trailing_sl     40.0
 128 2025-09-17 17:30  BUY    3685.29    3686.07     1.56    WIN       peak_protect     50.0
 129 2025-09-17 23:00 SELL    3658.81    3656.81     2.00    WIN     breakeven_exit     60.0
 130 2025-09-18 07:15 SELL    3657.82    3655.82     2.00    WIN     breakeven_exit     90.0
 131 2025-09-18 11:30 SELL    3662.22    3668.78    -6.56   LOSS            timeout     40.0
 132 2025-09-18 18:00 SELL    3639.28    3641.84    -5.12   LOSS            timeout     60.0
 133 2025-09-19 01:30 SELL    3642.03    3640.03     2.00    WIN     breakeven_exit     70.0
 134 2025-09-19 05:45  BUY    3647.01    3656.98     9.97    WIN        take_profit     60.0
 135 2025-09-19 11:00  BUY    3651.64    3655.39     7.50    WIN        trailing_sl     50.0
 136 2025-09-19 17:45  BUY    3666.92    3669.12     4.40    WIN     breakeven_exit     50.0
 137 2025-09-19 23:00  BUY    3681.55    3684.35     2.80    WIN      weekend_close     50.0
 138 2025-09-22 05:30  BUY    3686.87    3688.87     2.00    WIN     breakeven_exit     50.0
 139 2025-09-22 10:30  BUY    3713.91    3722.18    16.54    WIN        trailing_sl     40.0
 140 2025-09-22 17:45  BUY    3725.74    3736.22    20.96    WIN        trailing_sl     40.0
 141 2025-09-22 23:00  BUY    3745.52    3747.52     2.00    WIN     breakeven_exit     40.0
 142 2025-09-23 06:00  BUY    3739.01    3743.52     4.51    WIN        trailing_sl     70.0
 143 2025-09-23 11:00  BUY    3754.84    3782.37    55.05    WIN        take_profit     40.0
 144 2025-09-23 16:15  BUY    3783.60    3770.86   -25.48   LOSS          early_cut     40.0
 145 2025-09-23 20:30  BUY    3777.96    3756.59   -42.74   LOSS          early_cut     40.0
 146 2025-09-24 01:15 SELL    3761.78    3759.78     2.00    WIN     breakeven_exit     90.0
 147 2025-09-24 07:15 SELL    3764.78    3777.39   -12.61   LOSS     trend_reversal     70.0
 148 2025-09-24 14:15  BUY    3765.10    3767.10     4.00    WIN     breakeven_exit     50.0
 149 2025-09-24 18:15 SELL    3750.95    3743.95    14.00    WIN        trailing_sl     50.0
 150 2025-09-24 23:30 SELL    3736.41    3750.23   -13.82   LOSS     trend_reversal     40.0
 151 2025-09-25 05:45  BUY    3739.39    3742.72     3.33    WIN     breakeven_exit     40.0
 152 2025-09-25 12:15  BUY    3750.71    3753.93     6.44    WIN     breakeven_exit     40.0
 153 2025-09-25 18:45 SELL    3735.75    3755.46   -19.71   LOSS          early_cut     60.0
 154 2025-09-26 01:00 SELL    3746.28    3744.28     2.00    WIN     breakeven_exit     80.0
 155 2025-09-26 05:45 SELL    3738.23    3736.23     2.00    WIN     breakeven_exit     60.0
 156 2025-09-26 10:30 SELL    3747.94    3745.94     4.00    WIN     breakeven_exit     40.0
 157 2025-09-26 18:15  BUY    3779.13    3781.13     4.00    WIN     breakeven_exit     50.0
 158 2025-09-26 23:15 SELL    3765.95    3762.34     3.61    WIN      weekend_close     40.0
 159 2025-09-29 06:15  BUY    3793.34    3795.34     2.00    WIN     breakeven_exit     40.0
 160 2025-09-29 12:00  BUY    3817.57    3807.35   -20.44   LOSS          early_cut     50.0
 161 2025-09-29 18:00  BUY    3823.97    3826.28     4.62    WIN        trailing_sl     40.0
 162 2025-09-29 23:00  BUY    3829.66    3831.66     2.00    WIN        trailing_sl     60.0
 163 2025-09-30 05:30  BUY    3848.33    3864.53    16.20    WIN      market_signal     40.0
 164 2025-09-30 12:30 SELL    3801.70    3799.70     4.00    WIN     breakeven_exit     50.0
 165 2025-09-30 19:00 SELL    3843.04    3850.00   -13.92   LOSS     trend_reversal     60.0
 166 2025-10-01 02:30  BUY    3861.42    3863.42     2.00    WIN     breakeven_exit     80.0
 167 2025-10-01 06:45  BUY    3862.00    3864.00     2.00    WIN     breakeven_exit     40.0
 168 2025-10-01 12:15  BUY    3885.93    3886.30     0.74    WIN       peak_protect     50.0
 169 2025-10-01 16:45 SELL    3872.56    3862.49    20.14    WIN        trailing_sl     50.0
 170 2025-10-01 23:30 SELL    3863.40    3861.40     2.00    WIN     breakeven_exit     40.0
 171 2025-10-02 06:15 SELL    3867.07    3871.70    -4.63   LOSS     trend_reversal     70.0
 172 2025-10-02 11:30  BUY    3875.14    3877.14     4.00    WIN     breakeven_exit     40.0
 173 2025-10-02 18:45 SELL    3828.14    3842.92   -29.56   LOSS          early_cut     40.0
 174 2025-10-02 23:00 SELL    3856.94    3854.94     2.00    WIN     breakeven_exit     60.0
 175 2025-10-03 05:45 SELL    3848.03    3842.79     5.24    WIN        trailing_sl     60.0
 176 2025-10-03 10:30  BUY    3864.23    3858.59   -11.28   LOSS     trend_reversal     40.0
 177 2025-10-03 18:00  BUY    3880.35    3884.59     8.48    WIN        trailing_sl     50.0
 178 2025-10-03 23:15  BUY    3884.15    3884.60     0.45    WIN      weekend_close     80.0
 179 2025-10-06 03:15  BUY    3902.11    3904.11     2.00    WIN     breakeven_exit     70.0
 180 2025-10-06 06:45  BUY    3929.34    3936.72     7.38    WIN        trailing_sl     40.0
 181 2025-10-06 12:15  BUY    3943.67    3942.07    -3.20   LOSS       peak_protect     50.0
 182 2025-10-06 17:45  BUY    3954.81    3959.30     8.98    WIN     breakeven_exit     40.0
 183 2025-10-06 23:15  BUY    3959.47    3969.97    10.50    WIN     breakeven_exit     70.0
 184 2025-10-07 04:30  BUY    3959.61    3963.12     3.51    WIN        trailing_sl     50.0
 185 2025-10-07 09:00  BUY    3964.25    3945.77   -18.48   LOSS          early_cut     40.0
 186 2025-10-07 13:15 SELL    3956.55    3973.28   -16.73   LOSS          early_cut     40.0
 187 2025-10-07 20:00 SELL    3981.75    3988.32    -6.57   LOSS            timeout     40.0
 188 2025-10-08 03:30  BUY    3994.61    3997.70     3.09    WIN        trailing_sl     40.0
 189 2025-10-08 07:30  BUY    4019.42    4030.26    10.84    WIN        trailing_sl     40.0
 190 2025-10-08 11:45  BUY    4036.24    4046.08     9.84    WIN        trailing_sl     50.0
 191 2025-10-08 19:15  BUY    4055.42    4041.35   -14.07   LOSS     trend_reversal     40.0
 192 2025-10-09 02:00 SELL    4020.50    4016.91     3.59    WIN        trailing_sl     70.0
 193 2025-10-09 06:45 SELL    4026.63    4031.33    -4.70   LOSS            timeout     90.0
 194 2025-10-09 13:30  BUY    4038.55    4041.16     2.61    WIN     breakeven_exit     90.0
 195 2025-10-09 18:15 SELL    4016.26    4011.24    10.04    WIN     breakeven_exit     40.0
 196 2025-10-09 23:30 SELL    3974.44    3971.42     3.02    WIN     breakeven_exit     70.0
 197 2025-10-10 03:45  BUY    3990.78    3974.21   -16.57   LOSS          early_cut     80.0
 198 2025-10-10 09:15 SELL    3971.49    3961.63     9.86    WIN        trailing_sl     50.0
 199 2025-10-10 13:45  BUY    3993.57    3995.57     2.00    WIN     breakeven_exit     50.0
 200 2025-10-10 19:45  BUY    3983.09    3985.88     5.58    WIN        trailing_sl     60.0
 201 2025-10-13 02:45  BUY    4034.90    4053.94    19.04    WIN        trailing_sl     40.0
 202 2025-10-13 06:15  BUY    4051.62    4053.62     2.00    WIN     breakeven_exit     80.0
 203 2025-10-13 09:45  BUY    4069.12    4071.30     4.36    WIN        trailing_sl     70.0
 204 2025-10-13 13:00  BUY    4071.23    4077.78     6.55    WIN        trailing_sl     40.0
 205 2025-10-13 18:00  BUY    4096.69    4112.54    31.70    WIN        trailing_sl     50.0
 206 2025-10-13 23:15  BUY    4110.49    4125.20    14.71    WIN        trailing_sl     60.0
 207 2025-10-14 05:30  BUY    4147.18    4163.13    15.95    WIN      market_signal     50.0
 208 2025-10-14 10:00 SELL    4112.06    4126.10   -28.08   LOSS           max_loss     60.0
 209 2025-10-14 13:15 SELL    4139.20    4132.66    13.08    WIN        trailing_sl     40.0
 210 2025-10-14 17:30 SELL    4130.20    4137.77   -15.14   LOSS          early_cut     40.0
 211 2025-10-14 20:45  BUY    4147.77    4138.94   -17.66   LOSS          early_cut     60.0
 212 2025-10-15 02:30  BUY    4165.13    4167.13     2.00    WIN     breakeven_exit     60.0
 213 2025-10-15 06:30  BUY    4184.64    4186.64     2.00    WIN        trailing_sl     40.0
 214 2025-10-15 10:45  BUY    4207.67    4209.81     2.14    WIN     breakeven_exit     40.0
 215 2025-10-15 13:45  BUY    4202.49    4181.31   -21.18   LOSS          early_cut     50.0
 216 2025-10-15 18:15  BUY    4201.43    4207.89     6.46    WIN     breakeven_exit     50.0
 217 2025-10-16 05:15  BUY    4231.58    4236.49     4.91    WIN        trailing_sl     40.0
 218 2025-10-16 10:15  BUY    4233.47    4223.00   -20.94   LOSS          early_cut     40.0
 219 2025-10-16 14:45  BUY    4240.38    4242.38     4.00    WIN     breakeven_exit     60.0
 220 2025-10-16 18:00  BUY    4269.29    4271.29     4.00    WIN        trailing_sl     40.0
 221 2025-10-16 23:15  BUY    4315.50    4326.00    10.50    WIN        trailing_sl     40.0
 222 2025-10-17 03:30  BUY    4367.05    4333.77   -33.28   LOSS          early_cut     40.0
 223 2025-10-17 07:30  BUY    4360.42    4373.23    12.81    WIN        trailing_sl     50.0
 224 2025-10-17 11:30 SELL    4346.17    4338.00    16.34    WIN        trailing_sl     40.0
 225 2025-10-17 16:15 SELL    4315.95    4265.29   101.31    WIN        take_profit     40.0
 226 2025-10-17 23:00 SELL    4232.04    4259.10   -27.06   LOSS          early_cut     40.0
 227 2025-10-20 05:00  BUY    4262.66    4264.66     2.00    WIN     breakeven_exit     70.0
 228 2025-10-20 08:15  BUY    4256.75    4226.29   -30.46   LOSS          early_cut     50.0
 229 2025-10-20 15:00  BUY    4281.06    4320.09    78.06    WIN           smart_tp     40.0
 230 2025-10-20 18:15  BUY    4345.40    4347.40     4.00    WIN     breakeven_exit     40.0
 231 2025-10-21 02:30  BUY    4361.04    4366.79     5.75    WIN        trailing_sl     50.0
 232 2025-10-21 06:15 SELL    4348.88    4342.42     6.46    WIN        trailing_sl     40.0
 233 2025-10-21 12:00 SELL    4258.12    4270.90   -25.56   LOSS           max_loss     50.0
 234 2025-10-21 16:00 SELL    4197.03    4173.85    46.36    WIN           smart_tp     40.0
 235 2025-10-21 19:15 SELL    4117.20    4115.20     2.00    WIN     breakeven_exit     50.0
 236 2025-10-21 23:00 SELL    4120.53    4118.53     2.00    WIN     breakeven_exit     60.0
 237 2025-10-22 04:45 SELL    4086.87    4115.15   -28.28   LOSS           max_loss     50.0
 238 2025-10-22 08:00  BUY    4141.17    4156.18    15.01    WIN        trailing_sl     80.0
 239 2025-10-22 12:15 SELL    4075.16    4065.73    18.86    WIN        trailing_sl     40.0
 240 2025-10-22 15:45 SELL    4033.43    4064.08   -61.30   LOSS           max_loss     50.0
 241 2025-10-22 18:45 SELL    4036.96    4033.19     7.54    WIN     breakeven_exit     40.0
 242 2025-10-22 23:15  BUY    4091.80    4098.80     7.00    WIN        trailing_sl     50.0
 243 2025-10-23 04:00  BUY    4077.42    4083.98     6.56    WIN     breakeven_exit     40.0
 244 2025-10-23 07:45  BUY    4089.47    4124.73    35.26    WIN        take_profit     40.0
 245 2025-10-23 12:00  BUY    4118.19    4120.19     4.00    WIN     breakeven_exit     60.0
 246 2025-10-23 15:00  BUY    4104.64    4127.21    45.14    WIN           smart_tp     50.0
 247 2025-10-23 18:15  BUY    4144.74    4128.26   -16.48   LOSS          early_cut     60.0
 248 2025-10-23 23:00 SELL    4113.05    4111.05     2.00    WIN     breakeven_exit     40.0
 249 2025-10-24 08:15  BUY    4112.45    4083.35   -29.10   LOSS          early_cut     50.0
 250 2025-10-24 12:15 SELL    4069.63    4063.64    11.98    WIN     breakeven_exit     50.0
 251 2025-10-24 18:00  BUY    4118.77    4123.72     4.95    WIN        trailing_sl     50.0
 252 2025-10-24 23:00 SELL    4100.07    4108.53    -8.46   LOSS      weekend_close     50.0
 253 2025-10-27 02:00 SELL    4069.12    4090.02   -20.90   LOSS          early_cut     40.0
 254 2025-10-27 05:30 SELL    4080.23    4054.32    25.91    WIN        take_profit     40.0
 255 2025-10-27 08:30  BUY    4079.87    4058.27   -21.60   LOSS          early_cut     70.0
 256 2025-10-27 17:15 SELL    3986.46    3984.18     4.56    WIN     breakeven_exit     50.0
 257 2025-10-28 03:45  BUY    4010.74    3994.12   -16.62   LOSS          early_cut     40.0
 258 2025-10-28 17:15  BUY    3958.31    3961.58     6.54    WIN     breakeven_exit     50.0
 259 2025-10-28 20:45  BUY    3956.26    3958.26     2.00    WIN     breakeven_exit     40.0
 260 2025-10-29 01:30 SELL    3959.26    3981.60   -22.34   LOSS          early_cut     50.0
 261 2025-10-29 10:00  BUY    4007.04    4013.62    13.16    WIN        trailing_sl     50.0
 262 2025-10-29 14:30  BUY    4025.93    4006.53   -19.40   LOSS          early_cut     40.0
 263 2025-10-29 19:00 SELL    3997.61    3989.73    15.76    WIN        trailing_sl     50.0
 264 2025-10-30 01:00 SELL    3945.99    3943.99     2.00    WIN     breakeven_exit     70.0
 265 2025-10-30 05:30 SELL    3932.50    3959.18   -26.68   LOSS          early_cut     50.0
 266 2025-10-30 09:30  BUY    3961.83    3969.68     7.85    WIN        trailing_sl     40.0
 267 2025-10-30 13:00  BUY    3977.11    3979.12     4.02    WIN     breakeven_exit     40.0
 268 2025-10-30 17:30  BUY    4004.66    3995.34   -18.64   LOSS          early_cut     60.0
 269 2025-10-31 00:00  BUY    4021.83    4034.65    12.82    WIN        trailing_sl     40.0
 270 2025-10-31 06:30 SELL    4000.26    3998.26     2.00    WIN     breakeven_exit     50.0
 271 2025-10-31 10:30 SELL    4019.66    4013.22    12.88    WIN        trailing_sl     50.0
 272 2025-10-31 13:30 SELL    4008.61    4029.32   -20.71   LOSS          early_cut     60.0
 273 2025-10-31 19:45 SELL    3997.50    3998.91    -2.82   LOSS      weekend_close     70.0
 274 2025-11-03 04:00 SELL    3994.71    4010.68   -15.97   LOSS          early_cut     50.0
 275 2025-11-03 08:15  BUY    4016.26    4022.07     5.81    WIN        trailing_sl     70.0
 276 2025-11-03 12:30 SELL    3997.82    4015.49   -17.67   LOSS          early_cut     50.0
 277 2025-11-03 18:45 SELL    4008.29    4004.18     4.11    WIN     breakeven_exit     40.0
 278 2025-11-03 23:00 SELL    4004.72    4002.72     2.00    WIN        trailing_sl     50.0
 279 2025-11-04 03:45 SELL    3987.23    3979.90     7.33    WIN     breakeven_exit     40.0
 280 2025-11-04 07:15 SELL    3983.01    3978.98     4.03    WIN        trailing_sl     50.0
 281 2025-11-04 11:15  BUY    3991.95    3994.01     4.12    WIN     breakeven_exit     60.0
 282 2025-11-04 14:45 SELL    3984.74    3961.02    47.43    WIN        take_profit     40.0
 283 2025-11-04 18:45 SELL    3968.85    3962.21    13.28    WIN        trailing_sl     40.0
 284 2025-11-04 23:00 SELL    3934.27    3932.27     2.00    WIN     breakeven_exit     50.0
