================================================================================
#16 SMC + RTM Quasimodo — Backtest Log
================================================================================
Period: 2025-08-01 to 2026-02-07
QM params: lookback=60, max_age=30, tolerance=0.4%, RR=1:2

QM patterns: 347 | QM+SMC: 20 | QM-only: 41 | Standard: 632
Trades: 693 | WR: 71.3% | Net: $961.18
PF: 1.26 | DD: 6.7% | Sharpe: 1.28
vs Baseline: $-488.68

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason     Source
--------------------------------------------------------------------------------------------------------------
  32 2025-08-11 23:45 SELL    3342.07    3354.69   -12.62   LOSS     trend_reversal        SMC
  33 2025-08-12 06:15 SELL    3350.95    3347.72     3.23    WIN     breakeven_exit        SMC
  34 2025-08-12 12:00 SELL    3350.89    3348.39     5.00    WIN     breakeven_exit     QM+SMC
  35 2025-08-12 15:30 SELL    3349.40    3346.84     5.12    WIN     breakeven_exit     QM+SMC
  36 2025-08-12 18:45 SELL    3349.66    3348.86     1.60    WIN       peak_protect     QM+SMC
  37 2025-08-12 23:00 SELL    3346.63    3344.63     2.00    WIN     breakeven_exit     QM+SMC
  38 2025-08-13 06:45 SELL    3349.49    3347.49     2.00    WIN     breakeven_exit    QM-only
  39 2025-08-13 11:15  BUY    3353.75    3362.93    18.36    WIN        trailing_sl     QM+SMC
  40 2025-08-13 16:45  BUY    3364.93    3355.75   -18.36   LOSS          early_cut        SMC
  41 2025-08-13 20:45 SELL    3353.50    3352.45     2.10    WIN       peak_protect        SMC
  42 2025-08-14 01:00 SELL    3356.66    3372.80   -16.14   LOSS          early_cut        SMC
  43 2025-08-14 05:45  BUY    3362.62    3358.82    -3.80   LOSS     trend_reversal        SMC
  44 2025-08-14 12:00  BUY    3354.74    3356.74     2.00    WIN     breakeven_exit        SMC
  45 2025-08-14 15:45 SELL    3350.30    3348.19     4.22    WIN     breakeven_exit     QM+SMC
  46 2025-08-14 19:15 SELL    3332.05    3340.72   -17.34   LOSS          early_cut        SMC
  47 2025-08-15 01:45 SELL    3333.14    3338.36    -5.22   LOSS     trend_reversal        SMC
  48 2025-08-15 07:00  BUY    3345.12    3340.26    -4.86   LOSS     trend_reversal        SMC
  49 2025-08-15 12:15 SELL    3344.11    3340.58     3.53    WIN     breakeven_exit        SMC
  50 2025-08-15 17:00 SELL    3338.69    3336.69     2.00    WIN     breakeven_exit        SMC
  51 2025-08-15 23:00 SELL    3337.93    3336.09     1.84    WIN      weekend_close        SMC
  52 2025-08-18 03:00 SELL    3334.71    3346.57   -11.86   LOSS     trend_reversal        SMC
  53 2025-08-18 08:45  BUY    3349.37    3351.37     2.00    WIN     breakeven_exit        SMC
  54 2025-08-18 13:00 SELL    3349.85    3347.85     4.00    WIN     breakeven_exit        SMC
  55 2025-08-18 16:30 SELL    3339.84    3337.84     4.00    WIN     breakeven_exit        SMC
  56 2025-08-18 19:30 SELL    3332.47    3332.79    -0.32   LOSS            timeout        SMC
  57 2025-08-19 03:15  BUY    3337.15    3339.15     2.00    WIN     breakeven_exit        SMC
  58 2025-08-19 09:00  BUY    3337.13    3339.13     2.00    WIN     breakeven_exit    QM-only
  59 2025-08-19 13:30  BUY    3342.47    3334.65   -15.64   LOSS          early_cut        SMC
  60 2025-08-19 18:15 SELL    3324.04    3322.04     4.00    WIN     breakeven_exit        SMC
  61 2025-08-19 23:00 SELL    3315.30    3313.30     2.00    WIN     breakeven_exit        SMC
  62 2025-08-20 07:00  BUY    3318.59    3322.23     3.64    WIN     breakeven_exit        SMC
  63 2025-08-20 12:15  BUY    3325.36    3342.94    35.16    WIN      market_signal        SMC
  64 2025-08-20 18:30  BUY    3340.37    3349.91     9.54    WIN            timeout        SMC
  65 2025-08-21 04:00 SELL    3343.86    3340.21     3.65    WIN     breakeven_exit        SMC
  66 2025-08-21 11:15 SELL    3339.80    3330.23     9.57    WIN        take_profit        SMC
  67 2025-08-21 16:00  BUY    3342.13    3344.13     4.00    WIN     breakeven_exit        SMC
  68 2025-08-21 20:45 SELL    3336.92    3338.79    -3.74   LOSS            timeout        SMC
  69 2025-08-22 04:15 SELL    3337.22    3335.22     2.00    WIN     breakeven_exit        SMC
  70 2025-08-22 07:30 SELL    3329.04    3327.04     2.00    WIN     breakeven_exit        SMC
  71 2025-08-22 12:15 SELL    3328.16    3326.16     4.00    WIN     breakeven_exit        SMC
  72 2025-08-22 18:15  BUY    3376.71    3372.08    -9.26   LOSS      weekend_close        SMC
  73 2025-08-25 01:15 SELL    3367.79    3365.79     2.00    WIN     breakeven_exit        SMC
  74 2025-08-25 06:30 SELL    3367.41    3365.41     2.00    WIN     breakeven_exit        SMC
  75 2025-08-25 11:30  BUY    3363.91    3365.91     4.00    WIN     breakeven_exit        SMC
  76 2025-08-25 15:45  BUY    3364.40    3369.72    10.63    WIN        take_profit        SMC
  77 2025-08-25 19:15  BUY    3372.74    3368.64    -4.10   LOSS     trend_reversal    QM-only
  78 2025-08-26 02:00 SELL    3358.40    3356.40     2.00    WIN     breakeven_exit        SMC
  79 2025-08-26 06:00  BUY    3370.69    3374.57     3.88    WIN     breakeven_exit        SMC
  80 2025-08-26 10:45  BUY    3376.58    3369.25   -14.66   LOSS     trend_reversal        SMC
  81 2025-08-26 16:00  BUY    3372.47    3374.47     4.00    WIN     breakeven_exit     QM+SMC
  82 2025-08-26 19:15  BUY    3384.50    3389.94    10.88    WIN     breakeven_exit        SMC
  83 2025-08-27 03:45  BUY    3389.52    3382.33    -7.19   LOSS     trend_reversal        SMC
  84 2025-08-27 09:00 SELL    3379.27    3377.27     2.00    WIN     breakeven_exit        SMC
  85 2025-08-27 13:15  BUY    3376.38    3384.63    16.50    WIN        take_profit     QM+SMC
  86 2025-08-27 18:45  BUY    3387.92    3396.14    16.44    WIN      market_signal        SMC
  87 2025-08-27 23:15  BUY    3395.70    3397.70     2.00    WIN     breakeven_exit        SMC
  88 2025-08-28 05:15 SELL    3386.74    3395.25    -8.51   LOSS            timeout        SMC
  89 2025-08-28 12:00  BUY    3400.81    3403.52     2.71    WIN     breakeven_exit        SMC
  90 2025-08-28 18:00  BUY    3411.50    3418.84    14.68    WIN        trailing_sl        SMC
  91 2025-08-29 04:45  BUY    3409.91    3411.91     2.00    WIN     breakeven_exit        SMC
  92 2025-08-29 08:15 SELL    3407.91    3413.79    -5.88   LOSS     trend_reversal        SMC
  93 2025-08-29 13:30 SELL    3407.00    3416.35   -18.70   LOSS          early_cut        SMC
  94 2025-08-29 18:15  BUY    3444.72    3446.72     2.00    WIN     breakeven_exit        SMC
  95 2025-08-29 23:15  BUY    3449.91    3449.06    -0.85   LOSS      weekend_close        SMC
  96 2025-09-01 03:00  BUY    3443.41    3451.66     8.25    WIN        take_profit        SMC
  97 2025-09-01 07:15  BUY    3473.74    3475.74     2.00    WIN     breakeven_exit        SMC
  98 2025-09-01 11:15  BUY    3478.93    3471.32   -15.22   LOSS          early_cut        SMC
  99 2025-09-01 14:45  BUY    3469.95    3474.87     9.84    WIN        trailing_sl        SMC
 100 2025-09-01 19:45  BUY    3477.20    3480.10     2.90    WIN     breakeven_exit        SMC
 101 2025-09-02 06:15  BUY    3493.21    3495.21     2.00    WIN     breakeven_exit        SMC
 102 2025-09-02 10:30 SELL    3484.11    3479.63     8.96    WIN     breakeven_exit        SMC
 103 2025-09-02 15:30 SELL    3476.52    3484.99   -16.94   LOSS          early_cut        SMC
 104 2025-09-02 18:45  BUY    3520.29    3523.14     5.70    WIN     breakeven_exit        SMC
 105 2025-09-02 23:00  BUY    3535.52    3537.52     2.00    WIN     breakeven_exit        SMC
 106 2025-09-03 06:30  BUY    3530.23    3534.30     4.07    WIN        trailing_sl        SMC
 107 2025-09-03 10:30  BUY    3534.15    3537.91     7.52    WIN     breakeven_exit        SMC
 108 2025-09-03 14:00  BUY    3546.16    3554.20    16.08    WIN        trailing_sl        SMC
 109 2025-09-03 18:45  BUY    3563.77    3575.12    11.35    WIN        trailing_sl        SMC
 110 2025-09-04 01:30  BUY    3562.34    3552.27   -10.07   LOSS     trend_reversal        SMC
 111 2025-09-04 07:00 SELL    3530.89    3528.89     2.00    WIN     breakeven_exit        SMC
 112 2025-09-04 11:30  BUY    3541.91    3543.91     4.00    WIN     breakeven_exit        SMC
 113 2025-09-04 16:30  BUY    3550.67    3541.56   -18.22   LOSS          early_cut        SMC
 114 2025-09-04 19:45 SELL    3552.56    3545.81     6.75    WIN        trailing_sl    QM-only
 115 2025-09-04 23:45  BUY    3545.12    3553.32     8.20    WIN        take_profit        SMC
 116 2025-09-05 05:15  BUY    3550.11    3555.15     5.04    WIN     breakeven_exit    QM-only
 117 2025-09-05 11:30  BUY    3548.72    3550.72     2.00    WIN     breakeven_exit    QM-only
 118 2025-09-05 15:30  BUY    3583.45    3594.27    21.64    WIN      market_signal        SMC
 119 2025-09-05 19:15  BUY    3599.40    3595.39    -8.02   LOSS      weekend_close        SMC
 120 2025-09-08 01:30 SELL    3592.66    3590.66     2.00    WIN     breakeven_exit        SMC
 121 2025-09-08 05:15  BUY    3590.00    3592.00     2.00    WIN     breakeven_exit    QM-only
 122 2025-09-08 12:00  BUY    3612.73    3617.99     5.26    WIN        trailing_sl        SMC
 123 2025-09-08 15:45  BUY    3624.01    3627.94     7.86    WIN     breakeven_exit        SMC
 124 2025-09-08 18:45  BUY    3639.22    3633.92    -5.30   LOSS            timeout        SMC
 125 2025-09-09 03:30 SELL    3637.65    3653.58   -15.93   LOSS          early_cut        SMC
 126 2025-09-09 08:00  BUY    3654.79    3638.61   -16.18   LOSS          early_cut        SMC
 127 2025-09-09 11:45 SELL    3648.08    3652.62    -4.54   LOSS     trend_reversal    QM-only
 128 2025-09-09 18:30  BUY    3643.22    3645.95     2.73    WIN     breakeven_exit        SMC
 129 2025-09-09 23:00 SELL    3630.49    3628.49     2.00    WIN     breakeven_exit        SMC
 130 2025-09-10 03:30 SELL    3626.04    3624.04     2.00    WIN     breakeven_exit        SMC
 131 2025-09-10 07:00  BUY    3641.06    3643.06     2.00    WIN     breakeven_exit        SMC
 132 2025-09-10 12:45  BUY    3655.14    3650.62    -9.04   LOSS     trend_reversal        SMC
 133 2025-09-10 20:45  BUY    3647.27    3639.76    -7.51   LOSS            timeout        SMC
 134 2025-09-11 04:15  BUY    3648.28    3633.64   -14.64   LOSS     trend_reversal        SMC
 135 2025-09-11 09:45 SELL    3633.16    3629.00     4.16    WIN        trailing_sl        SMC
 136 2025-09-11 13:00 SELL    3621.90    3618.59     3.31    WIN     breakeven_exit        SMC
 137 2025-09-11 17:30  BUY    3626.78    3633.55     6.77    WIN        trailing_sl        SMC
 138 2025-09-11 23:00  BUY    3635.70    3631.76    -3.94   LOSS     trend_reversal        SMC
 139 2025-09-12 05:15  BUY    3649.71    3651.71     2.00    WIN     breakeven_exit        SMC
 140 2025-09-12 11:00  BUY    3643.56    3647.92     4.36    WIN     breakeven_exit    QM-only
 141 2025-09-12 16:45  BUY    3650.02    3649.72    -0.60   LOSS       peak_protect        SMC
 142 2025-09-12 20:15  BUY    3647.80    3648.75     1.90    WIN      weekend_close        SMC
 143 2025-09-15 01:00  BUY    3643.67    3633.34   -10.33   LOSS     trend_reversal        SMC
 144 2025-09-15 06:15  BUY    3643.80    3639.49    -4.31   LOSS     trend_reversal        SMC
 145 2025-09-15 12:00  BUY    3644.50    3638.32    -6.18   LOSS     trend_reversal        SMC
 146 2025-09-15 18:00  BUY    3664.77    3684.18    19.41    WIN      market_signal        SMC
 147 2025-09-15 23:00  BUY    3681.12    3683.12     2.00    WIN        trailing_sl        SMC
 148 2025-09-16 06:15  BUY    3681.60    3689.85     8.25    WIN        take_profit        SMC
 149 2025-09-16 12:30  BUY    3696.42    3689.30   -14.24   LOSS     trend_reversal        SMC
 150 2025-09-16 18:00 SELL    3684.22    3682.22     4.00    WIN     breakeven_exit        SMC
 151 2025-09-16 23:00  BUY    3692.54    3690.86    -1.68   LOSS            timeout        SMC
 152 2025-09-17 06:30 SELL    3682.22    3678.86     3.36    WIN        trailing_sl        SMC
 153 2025-09-17 12:15 SELL    3668.55    3666.55     4.00    WIN     breakeven_exit        SMC
 154 2025-09-17 16:00  BUY    3678.31    3684.83    13.04    WIN        trailing_sl        SMC
 155 2025-09-17 23:00 SELL    3658.81    3656.81     2.00    WIN     breakeven_exit        SMC
 156 2025-09-18 07:15 SELL    3657.82    3655.82     2.00    WIN     breakeven_exit        SMC
 157 2025-09-18 10:45 SELL    3658.85    3656.85     4.00    WIN     breakeven_exit        SMC
 158 2025-09-18 14:00  BUY    3667.60    3669.60     4.00    WIN     breakeven_exit        SMC
 159 2025-09-18 18:00 SELL    3639.28    3641.84    -5.12   LOSS            timeout        SMC
 160 2025-09-19 01:30 SELL    3642.03    3640.03     2.00    WIN     breakeven_exit        SMC
 161 2025-09-19 05:30  BUY    3646.23    3656.00     9.77    WIN        take_profit        SMC
 162 2025-09-19 09:30  BUY    3647.74    3650.76     3.02    WIN     breakeven_exit        SMC
 163 2025-09-19 13:45  BUY    3655.72    3647.39   -16.66   LOSS          early_cut        SMC
 164 2025-09-19 17:00  BUY    3660.35    3662.35     4.00    WIN     breakeven_exit        SMC
 165 2025-09-19 20:00  BUY    3670.26    3682.21    11.95    WIN      market_signal        SMC
 166 2025-09-19 23:45  BUY    3684.58    3686.58     2.00    WIN        trailing_sl        SMC
 167 2025-09-22 03:45  BUY    3690.74    3692.74     2.00    WIN     breakeven_exit        SMC
 168 2025-09-22 06:45  BUY    3695.23    3709.75    14.52    WIN        take_profit        SMC
 169 2025-09-22 12:30  BUY    3720.89    3724.21     6.64    WIN     breakeven_exit        SMC
 170 2025-09-22 17:00  BUY    3720.02    3732.34    12.32    WIN        take_profit        SMC
 171 2025-09-22 23:00  BUY    3745.52    3747.52     2.00    WIN     breakeven_exit        SMC
 172 2025-09-23 06:00  BUY    3739.01    3743.52     4.51    WIN        trailing_sl        SMC
 173 2025-09-23 09:45  BUY    3753.76    3779.67    25.91    WIN        take_profit        SMC
 174 2025-09-23 14:30  BUY    3782.92    3784.92     2.00    WIN     breakeven_exit        SMC
 175 2025-09-23 18:45 SELL    3779.17    3777.17     4.00    WIN     breakeven_exit        SMC
 176 2025-09-23 23:00 SELL    3764.94    3762.94     2.00    WIN     breakeven_exit        SMC
 177 2025-09-24 04:00 SELL    3763.02    3751.15    11.87    WIN        take_profit        SMC
 178 2025-09-24 08:30  BUY    3774.43    3770.30    -4.13   LOSS     trend_reversal        SMC
 179 2025-09-24 13:45  BUY    3761.90    3765.91     4.01    WIN     breakeven_exit        SMC
 180 2025-09-24 17:30 SELL    3755.15    3754.34     1.62    WIN       peak_protect        SMC
 181 2025-09-24 20:45 SELL    3733.00    3731.00     2.00    WIN     breakeven_exit        SMC
 182 2025-09-25 01:15 SELL    3744.65    3742.65     2.00    WIN     breakeven_exit        SMC
 183 2025-09-25 04:15  BUY    3744.06    3732.28   -11.78   LOSS     trend_reversal        SMC
 184 2025-09-25 09:30  BUY    3741.91    3757.16    15.26    WIN        take_profit        SMC
 185 2025-09-25 13:30  BUY    3756.89    3743.41   -26.96   LOSS           max_loss        SMC
 186 2025-09-25 16:30 SELL    3725.97    3734.70   -17.46   LOSS          early_cut        SMC
 187 2025-09-25 23:15 SELL    3748.71    3744.31     4.40    WIN     breakeven_exit        SMC
 188 2025-09-26 05:15 SELL    3740.77    3738.16     2.61    WIN     breakeven_exit        SMC
 189 2025-09-26 08:45 SELL    3741.83    3753.29   -11.46   LOSS     trend_reversal    QM-only
 190 2025-09-26 14:00 SELL    3745.99    3764.35   -36.72   LOSS          early_cut     QM+SMC
 191 2025-09-26 18:30  BUY    3775.84    3777.84     2.00    WIN     breakeven_exit        SMC
 192 2025-09-26 23:15 SELL    3765.95    3762.34     3.61    WIN      weekend_close        SMC
 193 2025-09-29 03:00 SELL    3773.85    3793.08   -19.23   LOSS          early_cut    QM-only
 194 2025-09-29 08:30  BUY    3803.57    3813.57    10.00    WIN        trailing_sl        SMC
 195 2025-09-29 11:45  BUY    3818.64    3810.11   -17.06   LOSS          early_cut        SMC
 196 2025-09-29 15:00  BUY    3824.35    3813.59   -21.52   LOSS          early_cut        SMC
 197 2025-09-29 18:15  BUY    3829.28    3825.81    -3.47   LOSS            timeout        SMC
 198 2025-09-30 01:45  BUY    3830.53    3835.44     4.91    WIN        trailing_sl        SMC
 199 2025-09-30 05:45  BUY    3847.80    3862.62    14.82    WIN      market_signal        SMC
 200 2025-09-30 11:15 SELL    3823.53    3818.37     5.16    WIN        trailing_sl        SMC
 201 2025-09-30 15:45 SELL    3819.14    3817.14     2.00    WIN     breakeven_exit    QM-only
 202 2025-09-30 19:00 SELL    3843.04    3853.06   -10.02   LOSS     trend_reversal        SMC
 203 2025-10-01 01:45  BUY    3859.80    3861.97     2.17    WIN     breakeven_exit        SMC
 204 2025-10-01 05:45  BUY    3863.31    3858.45    -4.86   LOSS     trend_reversal        SMC
 205 2025-10-01 11:30  BUY    3891.66    3882.94   -17.44   LOSS          early_cut        SMC
 206 2025-10-01 16:45 SELL    3872.56    3862.49    10.07    WIN        trailing_sl        SMC
 207 2025-10-01 23:00 SELL    3862.02    3860.02     2.00    WIN     breakeven_exit        SMC
 208 2025-10-02 06:00 SELL    3868.74    3866.74     2.00    WIN     breakeven_exit        SMC
 209 2025-10-02 09:15  BUY    3871.70    3873.70     4.00    WIN     breakeven_exit        SMC
 210 2025-10-02 14:15  BUY    3883.35    3887.88     4.53    WIN        trailing_sl        SMC
 211 2025-10-02 18:45 SELL    3828.14    3842.92   -29.56   LOSS          early_cut        SMC
 212 2025-10-02 23:00 SELL    3856.94    3854.94     2.00    WIN     breakeven_exit        SMC
 213 2025-10-03 04:00  BUY    3856.48    3839.79   -16.69   LOSS          early_cut        SMC
 214 2025-10-03 08:45 SELL    3854.94    3865.23   -10.29   LOSS            timeout     QM+SMC
 215 2025-10-03 15:45  BUY    3873.78    3877.94     4.16    WIN        trailing_sl        SMC
 216 2025-10-03 19:00  BUY    3886.19    3888.17     3.96    WIN      weekend_close        SMC
 217 2025-10-06 01:15  BUY    3893.88    3919.52    25.64    WIN        take_profit        SMC
 218 2025-10-06 04:30  BUY    3910.00    3920.79    10.79    WIN        trailing_sl        SMC
 219 2025-10-06 08:15  BUY    3936.77    3944.07     7.30    WIN        trailing_sl        SMC
 220 2025-10-06 14:00  BUY    3936.66    3938.66     2.00    WIN     breakeven_exit        SMC
 221 2025-10-06 17:45  BUY    3954.81    3959.30     8.98    WIN     breakeven_exit        SMC
 222 2025-10-06 23:15  BUY    3959.47    3969.97    10.50    WIN     breakeven_exit        SMC
 223 2025-10-07 04:00  BUY    3961.58    3963.58     2.00    WIN        trailing_sl        SMC
 224 2025-10-07 08:30  BUY    3961.20    3963.20     2.00    WIN     breakeven_exit        SMC
 225 2025-10-07 11:30 SELL    3952.43    3960.70   -16.54   LOSS          early_cut        SMC
 226 2025-10-07 15:15  BUY    3965.61    3980.28    29.34    WIN        trailing_sl        SMC
 227 2025-10-07 18:45 SELL    3965.92    3976.97   -22.10   LOSS          early_cut        SMC
 228 2025-10-08 01:00  BUY    3988.32    3995.31     6.99    WIN        trailing_sl        SMC
 229 2025-10-08 06:00  BUY    4013.27    4030.26    16.99    WIN        trailing_sl        SMC
 230 2025-10-08 11:00  BUY    4036.55    4046.08    19.06    WIN        trailing_sl        SMC
 231 2025-10-08 19:15  BUY    4055.42    4042.36   -26.12   LOSS          early_cut        SMC
 232 2025-10-09 01:00 SELL    4025.41    4016.91     8.50    WIN        trailing_sl        SMC
 233 2025-10-09 05:15 SELL    4013.12    4028.16   -15.04   LOSS          early_cut        SMC
 234 2025-10-09 09:00  BUY    4037.52    4025.88   -23.28   LOSS          early_cut        SMC
 235 2025-10-09 12:15  BUY    4038.31    4041.16     2.85    WIN     breakeven_exit        SMC
 236 2025-10-09 16:30  BUY    4031.02    4017.13   -27.78   LOSS           max_loss        SMC
 237 2025-10-09 19:15 SELL    4012.11    3986.23    51.76    WIN           smart_tp        SMC
 238 2025-10-09 23:30 SELL    3974.44    3971.42     3.02    WIN     breakeven_exit        SMC
 239 2025-10-10 03:45  BUY    3990.78    3974.21   -16.57   LOSS          early_cut        SMC
 240 2025-10-10 07:00 SELL    3947.74    3966.09   -18.35   LOSS          early_cut        SMC
 241 2025-10-10 11:15  BUY    3986.63    3997.45    10.82    WIN        trailing_sl        SMC
 242 2025-10-10 17:30  BUY    3982.14    4006.04    23.90    WIN        trailing_sl        SMC
 243 2025-10-10 20:45  BUY    3989.63    4000.86    22.46    WIN        trailing_sl        SMC
 244 2025-10-13 01:00  BUY    4021.68    4036.82    15.14    WIN        trailing_sl        SMC
 245 2025-10-13 04:00  BUY    4043.99    4047.03     3.04    WIN        trailing_sl        SMC
 246 2025-10-13 07:15  BUY    4056.42    4072.34    15.92    WIN        trailing_sl        SMC
 247 2025-10-13 11:15  BUY    4073.57    4075.57     2.00    WIN     breakeven_exit        SMC
 248 2025-10-13 14:30  BUY    4077.04    4080.49     6.90    WIN     breakeven_exit        SMC
 249 2025-10-13 18:00  BUY    4096.69    4112.54    31.70    WIN        trailing_sl        SMC
 250 2025-10-13 23:15  BUY    4110.49    4125.20    14.71    WIN        trailing_sl        SMC
 251 2025-10-14 05:30  BUY    4147.18    4163.13    15.95    WIN      market_signal        SMC
 252 2025-10-14 09:30 SELL    4098.82    4112.07   -26.50   LOSS           max_loss        SMC
 253 2025-10-14 12:15 SELL    4139.61    4130.04    19.14    WIN     breakeven_exit        SMC
 254 2025-10-14 15:45 SELL    4106.34    4126.69   -40.70   LOSS          early_cut        SMC
 255 2025-10-14 20:00  BUY    4145.14    4147.14     4.00    WIN     breakeven_exit        SMC
 256 2025-10-15 01:15  BUY    4151.95    4162.13    10.18    WIN        trailing_sl        SMC
 257 2025-10-15 05:30  BUY    4171.41    4180.38     8.97    WIN        trailing_sl        SMC
 258 2025-10-15 08:45  BUY    4185.64    4188.71     3.07    WIN     breakeven_exit        SMC
 259 2025-10-15 11:45  BUY    4208.04    4192.60   -15.44   LOSS          early_cut        SMC
 260 2025-10-15 15:15  BUY    4181.31    4183.31     2.00    WIN        trailing_sl        SMC
 261 2025-10-15 18:15  BUY    4201.43    4207.89     6.46    WIN     breakeven_exit        SMC
 262 2025-10-16 03:15  BUY    4222.91    4227.58     4.67    WIN        trailing_sl        SMC
 263 2025-10-16 07:15  BUY    4237.91    4211.33   -26.58   LOSS          early_cut        SMC
 264 2025-10-16 11:30  BUY    4232.15    4223.00   -18.30   LOSS          early_cut        SMC
 265 2025-10-16 14:45  BUY    4240.38    4242.38     2.00    WIN     breakeven_exit        SMC
 266 2025-10-16 17:45  BUY    4263.14    4268.67    11.06    WIN        trailing_sl        SMC
 267 2025-10-16 23:00  BUY    4316.43    4326.00     9.57    WIN        trailing_sl        SMC
 268 2025-10-17 03:30  BUY    4367.05    4333.77   -33.28   LOSS          early_cut        SMC
 269 2025-10-17 07:30  BUY    4360.42    4373.23    12.81    WIN        trailing_sl        SMC
 270 2025-10-17 10:45 SELL    4342.25    4336.89    10.72    WIN     breakeven_exit        SMC
 271 2025-10-17 14:00 SELL    4319.15    4310.39    17.52    WIN        trailing_sl        SMC
 272 2025-10-17 17:15 SELL    4240.63    4238.63     2.00    WIN        trailing_sl        SMC
 273 2025-10-17 23:00 SELL    4232.04    4259.10   -27.06   LOSS          early_cut        SMC
 274 2025-10-20 03:30  BUY    4240.65    4246.26     5.61    WIN        trailing_sl        SMC
 275 2025-10-20 06:30  BUY    4254.98    4261.49     6.51    WIN        trailing_sl        SMC
 276 2025-10-20 09:30 SELL    4234.39    4254.48   -40.18   LOSS           max_loss        SMC
 277 2025-10-20 14:45  BUY    4279.10    4320.09    81.98    WIN           smart_tp        SMC
 278 2025-10-20 18:00  BUY    4346.12    4348.12     4.00    WIN     breakeven_exit        SMC
 279 2025-10-20 23:00  BUY    4359.90    4368.48     8.58    WIN     breakeven_exit        SMC
 280 2025-10-21 04:00  BUY    4358.80    4339.93   -18.87   LOSS          early_cut        SMC
 281 2025-10-21 08:15 SELL    4332.95    4325.57     7.38    WIN        trailing_sl        SMC
 282 2025-10-21 11:15 SELL    4267.47    4261.12     6.35    WIN     breakeven_exit        SMC
 283 2025-10-21 15:15 SELL    4228.41    4220.97    14.88    WIN        trailing_sl        SMC
