================================================================================
XAUBOT AI — #18 Multi-Confirmation (count>=3)
================================================================================
Period: 2025-08-01 to 2026-02-07

--- FILTER STATS ---
  Blocked (insufficient): 768
  Confirmation distribution:
    2 confirms: 768 signals
    3 confirms: 303 signals
    4 confirms: 114 signals
    5 confirms: 2 signals

--- PERFORMANCE ---
  Total Trades:    419
  Win Rate:        45.3%
  Net PnL:         $189.02
  Profit Factor:   1.48
  Max Drawdown:    0.8%
  Sharpe Ratio:    1.87

--- PERFORMANCE BY CONFIRMATION COUNT ---
  3 confirms: 303 trades,  46.9% WR, $  172.77
  4 confirms: 114 trades,  41.2% WR, $   16.37
  5 confirms:   2 trades,  50.0% WR, $   -0.12

--- DIRECTION ---
  BUY: 232 trades, 51.7% WR, $130.26
  SELL: 187 trades, 37.4% WR, $58.75

--- EXIT REASONS ---
  timeout             :  181 ( 43.2%)
  max_loss            :   87 ( 20.8%)
  take_profit         :   79 ( 18.9%)
  smart_tp            :   19 (  4.5%)
  weekend_close       :   18 (  4.3%)
  market_signal       :   12 (  2.9%)
  trailing_sl         :    9 (  2.1%)
  breakeven_exit      :    8 (  1.9%)
  peak_protect        :    6 (  1.4%)

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Cfm
----------------------------------------------------------------------------------------------------
 152 2025-10-07 12:00 SELL    3958.62    3976.79    -1.82   LOSS           max_loss   3
 153 2025-10-07 18:45 SELL    3965.92    3978.39    -1.25   LOSS           max_loss   4
 154 2025-10-08 01:00  BUY    3988.32    4019.49     3.12    WIN           smart_tp   3
 155 2025-10-08 09:30  BUY    4030.60    4033.70     0.31    WIN            timeout   3
 156 2025-10-08 19:15  BUY    4055.42    4043.74    -1.17   LOSS            timeout   4
 157 2025-10-09 02:45 SELL    4011.55    4026.63    -1.51   LOSS            timeout   3
 158 2025-10-09 09:30  BUY    4030.06    4031.02     0.10    WIN            timeout   3
 159 2025-10-09 19:00 SELL    4016.59    3954.78    12.36    WIN        take_profit   3
 160 2025-10-10 02:15  BUY    3982.69    3970.10    -1.26   LOSS            timeout   3
 161 2025-10-10 11:15  BUY    3986.63    3985.99    -0.13   LOSS            timeout   4
 162 2025-10-10 18:00  BUY    4009.04    3995.14    -1.39   LOSS      weekend_close   3
 163 2025-10-13 01:15  BUY    4039.82    4056.42     1.66    WIN            timeout   3
 164 2025-10-13 09:45  BUY    4069.12    4079.54     1.04    WIN            timeout   3
 165 2025-10-14 02:00  BUY    4114.73    4146.57     3.18    WIN           smart_tp   3
 166 2025-10-14 06:45  BUY    4163.13    4106.47    -5.67   LOSS           max_loss   3
 167 2025-10-14 11:45 SELL    4143.75    4126.69     3.41    WIN       peak_protect   3
 168 2025-10-14 20:00  BUY    4145.14    4168.31     4.63    WIN            timeout   3
 169 2025-10-15 05:30  BUY    4171.41    4197.91     2.65    WIN        take_profit   3
 170 2025-10-15 19:30  BUY    4196.78    4227.48     6.14    WIN        take_profit   3
 171 2025-10-16 09:30  BUY    4218.50    4239.23     4.15    WIN        take_profit   3
 172 2025-10-16 15:15  BUY    4238.76    4264.04     5.06    WIN        take_profit   3
 173 2025-10-16 19:45  BUY    4282.45    4349.47    13.40    WIN           smart_tp   3
 174 2025-10-17 05:30  BUY    4339.32    4340.32     0.10    WIN     breakeven_exit   3
 175 2025-10-17 12:45 SELL    4339.99    4315.01     5.00    WIN       peak_protect   3
 176 2025-10-17 17:30 SELL    4258.81    4230.71     2.81    WIN        trailing_sl   3
 177 2025-10-17 23:30  BUY    4247.04    4247.38     0.03    WIN      weekend_close   4
 178 2025-10-20 03:15  BUY    4221.91    4255.59     3.37    WIN        take_profit   3
 179 2025-10-20 06:30  BUY    4254.98    4254.97    -0.00   LOSS            timeout   3
 180 2025-10-20 14:45  BUY    4279.10    4320.09     8.20    WIN           smart_tp   4
 181 2025-10-20 18:00  BUY    4346.12    4377.76     6.33    WIN      market_signal   4
 182 2025-10-21 05:00 SELL    4345.40    4291.47     5.39    WIN        take_profit   4
 183 2025-10-21 15:15 SELL    4228.41    4136.45    18.39    WIN      market_signal   4
 184 2025-10-21 23:30  BUY    4128.39    4100.36    -2.80   LOSS           max_loss   4
 185 2025-10-22 06:30  BUY    4138.77    4137.18    -0.16   LOSS            timeout   3
 186 2025-10-22 13:00 SELL    4075.34    4050.19     2.52    WIN        trailing_sl   3
 187 2025-10-22 18:30 SELL    4034.31    4084.74   -10.09   LOSS           max_loss   3
 188 2025-10-23 06:15  BUY    4095.17    4096.17     0.10    WIN     breakeven_exit   3
 189 2025-10-23 13:15  BUY    4110.04    4137.41     5.48    WIN        take_profit   3
 190 2025-10-23 23:00 SELL    4113.05    4142.89    -2.98   LOSS            timeout   4
 191 2025-10-24 09:15 SELL    4089.59    4054.09     7.10    WIN           smart_tp   3
 192 2025-10-24 13:30 SELL    4058.20    4123.34   -13.03   LOSS           max_loss   3
 193 2025-10-24 20:00  BUY    4126.10    4106.91    -3.84   LOSS      weekend_close   3
 194 2025-10-27 00:00 SELL    4104.45    4077.43     2.70    WIN        take_profit   4
 195 2025-10-27 03:15 SELL    4093.26    4062.23     3.10    WIN        take_profit   3
 196 2025-10-27 08:30  BUY    4079.87    4053.55    -2.63   LOSS           max_loss   4
 197 2025-10-27 14:00 SELL    4032.39    3978.60    10.76    WIN           smart_tp   3
 198 2025-10-28 00:00 SELL    3985.16    4010.08    -2.49   LOSS           max_loss   3
 199 2025-10-28 06:15 SELL    3971.23    3921.59     4.96    WIN           smart_tp   3
 200 2025-10-28 15:15  BUY    3932.34    3953.81     4.29    WIN            timeout   3
 201 2025-10-29 01:30 SELL    3959.26    3976.40    -1.71   LOSS           max_loss   3
 202 2025-10-29 08:15  BUY    3970.44    3999.74     2.93    WIN        take_profit   3
 203 2025-10-29 18:00 SELL    3997.14    3948.01     9.83    WIN        take_profit   3
 204 2025-10-30 00:00 SELL    3937.86    3943.32    -0.55   LOSS            timeout   3
 205 2025-10-30 08:30  BUY    3965.58    3966.58     0.10    WIN     breakeven_exit   3
 206 2025-10-30 16:00  BUY    4010.86    4007.41    -0.69   LOSS            timeout   4
 207 2025-10-31 00:15  BUY    4020.28    4013.29    -0.70   LOSS            timeout   3
 208 2025-10-31 11:15 SELL    4002.27    4026.72    -2.44   LOSS           max_loss   3
 209 2025-10-31 18:00 SELL    3978.77    3998.91    -2.01   LOSS      weekend_close   3
 210 2025-11-03 02:00 SELL    3968.24    4006.30    -3.81   LOSS           max_loss   4
 211 2025-11-03 07:45  BUY    4013.70    4000.34    -1.34   LOSS            timeout   3
 212 2025-11-03 17:30 SELL    4021.13    3999.66     2.15    WIN        take_profit   3
 213 2025-11-03 23:30 SELL    4001.07    3980.31     2.08    WIN        take_profit   3
 214 2025-11-04 05:00 SELL    3988.22    3993.69    -0.55   LOSS            timeout   3
 215 2025-11-04 11:45  BUY    3991.27    3975.68    -3.12   LOSS            timeout   3
 216 2025-11-04 18:15 SELL    3972.35    3930.77     4.16    WIN        take_profit   3
 217 2025-11-05 07:30  BUY    3969.72    3969.62    -0.01   LOSS            timeout   3
 218 2025-11-05 14:00 SELL    3964.13    3976.60    -2.49   LOSS            timeout   3
 219 2025-11-05 20:30  BUY    3979.59    3973.17    -0.64   LOSS            timeout   3
 220 2025-11-06 04:00  BUY    3977.18    3992.96     1.58    WIN        take_profit   3
 221 2025-11-06 13:45  BUY    4018.10    4004.31    -1.38   LOSS           max_loss   4
 222 2025-11-06 17:15 SELL    3986.60    3992.33    -0.57   LOSS            timeout   4
 223 2025-11-07 03:15  BUY    3997.24    3994.16    -0.31   LOSS            timeout   4
 224 2025-11-07 09:45  BUY    4007.60    4002.77    -0.48   LOSS            timeout   3
 225 2025-11-07 16:15  BUY    4000.45    3990.85    -0.96   LOSS           max_loss   3
 226 2025-11-07 19:00  BUY    3999.70    4002.99     0.33    WIN      weekend_close   4
 227 2025-11-10 01:45  BUY    4011.67    4037.65     2.60    WIN        take_profit   3
 228 2025-11-10 06:30  BUY    4052.35    4078.19     2.58    WIN            timeout   3
 229 2025-11-10 15:00  BUY    4102.90    4075.69    -5.44   LOSS           max_loss   4
 230 2025-11-10 20:15  BUY    4114.07    4132.20     3.63    WIN      market_signal   3
 231 2025-11-11 05:45  BUY    4146.65    4129.52    -1.71   LOSS           max_loss   4
 232 2025-11-11 12:15 SELL    4142.02    4129.34     2.54    WIN        take_profit   3
 233 2025-11-11 19:45 SELL    4114.27    4126.61    -2.47   LOSS            timeout   3
 234 2025-11-12 08:30  BUY    4116.75    4136.62     1.99    WIN        take_profit   3
 235 2025-11-12 16:45  BUY    4136.56    4157.55     4.20    WIN        take_profit   3
 236 2025-11-13 02:15 SELL    4192.54    4207.99    -1.54   LOSS           max_loss   4
 237 2025-11-13 05:15 SELL    4200.57    4214.79    -1.42   LOSS           max_loss   3
 238 2025-11-13 08:30  BUY    4205.65    4244.50     3.88    WIN        take_profit   3
 239 2025-11-13 17:15 SELL    4194.66    4178.46     3.24    WIN       peak_protect   4
 240 2025-11-14 03:45  BUY    4189.83    4189.70    -0.01   LOSS            timeout   3
 241 2025-11-14 10:15 SELL    4176.89    4125.53    10.27    WIN        take_profit   3
 242 2025-11-17 01:15 SELL    4103.53    4076.54     2.70    WIN        take_profit   3
 243 2025-11-17 08:00 SELL    4058.50    4087.13    -2.86   LOSS            timeout   3
 244 2025-11-17 14:45 SELL    4077.07    4089.93    -2.57   LOSS           max_loss   3
 245 2025-11-17 20:15 SELL    4072.88    4043.93     2.89    WIN        take_profit   3
 246 2025-11-18 01:00 SELL    4050.00    4003.78     4.62    WIN        take_profit   3
 247 2025-11-18 11:30  BUY    4037.21    4052.79     3.12    WIN       peak_protect   4
 248 2025-11-18 23:15  BUY    4065.70    4064.26    -0.14   LOSS            timeout   3
 249 2025-11-19 07:15  BUY    4088.61    4109.29     2.07    WIN            timeout   4
 250 2025-11-19 19:15 SELL    4072.13    4076.57    -0.89   LOSS            timeout   4
 251 2025-11-20 02:45  BUY    4102.89    4065.58    -3.73   LOSS           max_loss   4
 252 2025-11-20 06:30 SELL    4076.43    4063.29     1.31    WIN            timeout   3
 253 2025-11-20 15:30  BUY    4080.45    4051.06    -5.88   LOSS           max_loss   4
 254 2025-11-21 08:15 SELL    4031.62    4032.57    -0.10   LOSS            timeout   4
 255 2025-11-21 14:45  BUY    4065.69    4082.77     1.71    WIN            timeout   4
 256 2025-11-21 23:30 SELL    4064.85    4065.62    -0.08   LOSS      weekend_close   4
 257 2025-11-24 03:15 SELL    4055.26    4056.66    -0.14   LOSS            timeout   3
 258 2025-11-24 11:30  BUY    4070.10    4095.12     2.50    WIN            timeout   3
 259 2025-11-24 23:15  BUY    4132.22    4146.00     1.38    WIN            timeout   4
 260 2025-11-25 09:15 SELL    4136.98    4114.70     4.46    WIN        take_profit   4
 261 2025-11-25 15:15  BUY    4141.71    4139.20    -0.50   LOSS            timeout   4
 262 2025-11-26 01:15  BUY    4133.32    4147.95     1.46    WIN        take_profit   3
 263 2025-11-26 06:00  BUY    4161.54    4157.94    -0.36   LOSS            timeout   3
 264 2025-11-26 13:30  BUY    4171.00    4146.65    -4.87   LOSS           max_loss   4
 265 2025-11-27 03:15 SELL    4153.41    4156.72    -0.33   LOSS            timeout   3
 266 2025-11-27 11:15 SELL    4154.75    4155.98    -0.12   LOSS            timeout   3
 267 2025-11-27 18:00 SELL    4155.35    4162.42    -0.71   LOSS           max_loss   3
 268 2025-11-28 08:30  BUY    4187.94    4174.33    -1.36   LOSS           max_loss   3
 269 2025-11-28 15:45  BUY    4182.37    4224.77     4.24    WIN        take_profit   3
 270 2025-12-01 03:30  BUY    4241.25    4224.18    -1.71   LOSS            timeout   3
 271 2025-12-01 10:00  BUY    4250.74    4248.97    -0.35   LOSS            timeout   4
 272 2025-12-01 17:15  BUY    4228.07    4233.23     0.52    WIN            timeout   3
 273 2025-12-02 03:15 SELL    4213.54    4221.34    -0.78   LOSS            timeout   3
 274 2025-12-02 09:45 SELL    4213.42    4194.31     3.82    WIN        take_profit   4
 275 2025-12-02 16:30  BUY    4217.88    4181.19    -7.34   LOSS           max_loss   3
 276 2025-12-02 20:00 SELL    4192.42    4207.66    -3.05   LOSS            timeout   3
 277 2025-12-03 03:45  BUY    4214.30    4207.67    -0.66   LOSS            timeout   4
 278 2025-12-03 10:30 SELL    4208.60    4214.03    -0.54   LOSS            timeout   3
 279 2025-12-03 18:45 SELL    4200.66    4206.12    -0.55   LOSS            timeout   4
 280 2025-12-04 02:30  BUY    4213.28    4195.05    -1.82   LOSS           max_loss   4
 281 2025-12-04 07:30 SELL    4183.90    4196.83    -1.29   LOSS            timeout   3
 282 2025-12-04 14:00  BUY    4200.70    4207.88     0.72    WIN            timeout   3
 283 2025-12-05 03:00 SELL    4196.88    4210.29    -1.34   LOSS           max_loss   4
 284 2025-12-05 08:15  BUY    4227.52    4223.95    -0.36   LOSS            timeout   3
 285 2025-12-05 14:45  BUY    4228.63    4241.71     1.31    WIN        take_profit   3
 286 2025-12-05 19:15 SELL    4216.70    4205.79     2.18    WIN      weekend_close   4
 287 2025-12-08 01:00 SELL    4198.04    4209.74    -1.17   LOSS            timeout   3
 288 2025-12-08 07:30  BUY    4214.55    4207.93    -0.66   LOSS            timeout   3
 289 2025-12-08 14:00  BUY    4212.21    4202.96    -0.93   LOSS           max_loss   4
