================================================================================
XAUBOT AI — #18 Multi-Confirmation (count>=3)
================================================================================
Period: 2025-08-01 to 2026-02-07

--- FILTER STATS ---
  Blocked (insufficient): 1026
  Confirmation distribution:
    2 confirms: 1026 signals
    3 confirms: 403 signals
    4 confirms: 178 signals

--- PERFORMANCE ---
  Total Trades:    581
  Win Rate:        69.0%
  Net PnL:         $800.21
  Profit Factor:   1.22
  Max Drawdown:    6.6%
  Sharpe Ratio:    1.15

--- PERFORMANCE BY CONFIRMATION COUNT ---
  3 confirms: 403 trades,  70.5% WR, $  522.12
  4 confirms: 178 trades,  65.7% WR, $  278.09

--- DIRECTION ---
  BUY: 316 trades, 74.4% WR, $1,004.34
  SELL: 265 trades, 62.6% WR, $-204.13

--- EXIT REASONS ---
  breakeven_exit      :  188 ( 32.4%)
  trailing_sl         :  159 ( 27.4%)
  early_cut           :   93 ( 16.0%)
  trend_reversal      :   38 (  6.5%)
  max_loss            :   25 (  4.3%)
  take_profit         :   18 (  3.1%)
  smart_tp            :   15 (  2.6%)
  timeout             :   14 (  2.4%)
  weekend_close       :   13 (  2.2%)
  market_signal       :   11 (  1.9%)
  peak_protect        :    7 (  1.2%)

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Cfm
----------------------------------------------------------------------------------------------------
  68 2025-08-25 03:45 SELL    3364.71    3362.71     2.00    WIN     breakeven_exit   3
  69 2025-08-25 08:00 SELL    3365.16    3366.06    -0.90   LOSS            timeout   3
  70 2025-08-25 15:15  BUY    3368.72    3370.72     4.00    WIN     breakeven_exit   3
  71 2025-08-26 02:00 SELL    3358.40    3356.40     2.00    WIN     breakeven_exit   3
  72 2025-08-26 06:45  BUY    3372.10    3374.57     2.47    WIN     breakeven_exit   3
  73 2025-08-26 10:45  BUY    3376.58    3369.25   -14.66   LOSS     trend_reversal   3
  74 2025-08-26 18:15  BUY    3381.89    3383.89     4.00    WIN     breakeven_exit   4
  75 2025-08-26 23:00  BUY    3389.97    3386.09    -3.88   LOSS            timeout   4
  76 2025-08-27 09:15 SELL    3380.88    3377.46     6.84    WIN     breakeven_exit   3
  77 2025-08-27 13:15  BUY    3376.38    3382.57    12.37    WIN        take_profit   3
  78 2025-08-27 17:45  BUY    3386.40    3396.42    20.04    WIN      market_signal   4
  79 2025-08-28 03:45 SELL    3391.91    3388.80     3.11    WIN     breakeven_exit   4
  80 2025-08-28 09:30  BUY    3395.25    3397.81     5.12    WIN     breakeven_exit   4
  81 2025-08-28 15:30  BUY    3402.47    3404.47     4.00    WIN     breakeven_exit   4
  82 2025-08-28 19:15  BUY    3415.50    3418.84     6.68    WIN     breakeven_exit   4
  83 2025-08-29 05:15  BUY    3411.91    3407.67    -4.24   LOSS     trend_reversal   3
  84 2025-08-29 11:30 SELL    3412.71    3410.71     4.00    WIN     breakeven_exit   3
  85 2025-08-29 16:15  BUY    3417.40    3437.31    39.81    WIN        take_profit   4
  86 2025-08-29 23:15  BUY    3449.91    3449.06    -0.85   LOSS      weekend_close   3
  87 2025-09-01 04:00 SELL    3439.33    3457.19   -17.86   LOSS          early_cut   4
  88 2025-09-01 10:30  BUY    3471.28    3474.74     3.46    WIN        trailing_sl   3
  89 2025-09-01 16:00  BUY    3477.33    3474.05    -6.56   LOSS     trend_reversal   3
  90 2025-09-02 01:15  BUY    3478.41    3480.41     2.00    WIN     breakeven_exit   3
  91 2025-09-02 09:30 SELL    3485.60    3479.63    11.94    WIN        trailing_sl   4
  92 2025-09-02 15:30 SELL    3476.52    3484.99   -16.94   LOSS          early_cut   3
  93 2025-09-02 18:45  BUY    3520.29    3523.14     5.70    WIN     breakeven_exit   3
  94 2025-09-03 03:30  BUY    3540.21    3531.05    -9.16   LOSS     trend_reversal   4
  95 2025-09-03 08:45  BUY    3529.84    3531.84     2.00    WIN     breakeven_exit   3
  96 2025-09-03 11:45  BUY    3539.87    3545.63    11.52    WIN        trailing_sl   4
  97 2025-09-04 05:00 SELL    3542.08    3517.91    24.17    WIN        trailing_sl   4
  98 2025-09-04 11:00  BUY    3544.09    3539.79    -8.60   LOSS     trend_reversal   4
  99 2025-09-04 16:45  BUY    3546.21    3550.79     9.16    WIN        trailing_sl   3
 100 2025-09-05 01:15 SELL    3541.78    3554.90   -13.12   LOSS     trend_reversal   4
 101 2025-09-05 06:45  BUY    3558.11    3552.57    -5.54   LOSS     trend_reversal   4
 102 2025-09-05 15:30  BUY    3583.45    3594.27    10.82    WIN      market_signal   3
 103 2025-09-05 19:15  BUY    3599.40    3595.39    -8.02   LOSS      weekend_close   3
 104 2025-09-08 01:30 SELL    3592.66    3590.66     2.00    WIN     breakeven_exit   3
 105 2025-09-08 06:45 SELL    3583.46    3597.47   -14.01   LOSS     trend_reversal   3
 106 2025-09-08 13:15  BUY    3618.37    3627.94    19.14    WIN        trailing_sl   3
 107 2025-09-09 01:30 SELL    3630.39    3644.41   -14.02   LOSS     trend_reversal   4
 108 2025-09-09 06:45  BUY    3645.88    3653.87     7.99    WIN     breakeven_exit   3
 109 2025-09-09 11:30 SELL    3650.19    3648.19     4.00    WIN     breakeven_exit   3
 110 2025-09-09 18:45 SELL    3645.47    3643.47     4.00    WIN     breakeven_exit   4
 111 2025-09-10 01:30 SELL    3631.24    3629.24     2.00    WIN        trailing_sl   3
 112 2025-09-10 07:00  BUY    3641.06    3643.06     2.00    WIN     breakeven_exit   4
 113 2025-09-10 12:45  BUY    3655.14    3650.62    -9.04   LOSS     trend_reversal   3
 114 2025-09-10 23:00 SELL    3641.16    3644.83    -3.67   LOSS     trend_reversal   4
 115 2025-09-11 05:30 SELL    3636.10    3633.80     2.30    WIN     breakeven_exit   4
 116 2025-09-11 09:45 SELL    3633.16    3629.00     8.32    WIN        trailing_sl   3
 117 2025-09-11 13:00 SELL    3621.90    3618.59     6.62    WIN     breakeven_exit   3
 118 2025-09-11 17:30  BUY    3626.78    3633.55    13.54    WIN        trailing_sl   3
 119 2025-09-11 23:00  BUY    3635.70    3631.76    -3.94   LOSS     trend_reversal   3
 120 2025-09-12 05:15  BUY    3649.71    3651.71     2.00    WIN     breakeven_exit   4
 121 2025-09-12 13:15  BUY    3650.65    3642.46   -16.38   LOSS          early_cut   3
 122 2025-09-12 17:45  BUY    3647.98    3648.75     1.54    WIN      weekend_close   4
 123 2025-09-15 01:45 SELL    3642.07    3640.07     2.00    WIN     breakeven_exit   3
 124 2025-09-15 05:30  BUY    3644.65    3639.49    -5.16   LOSS            timeout   4
 125 2025-09-15 12:00  BUY    3644.50    3638.32   -12.36   LOSS     trend_reversal   3
 126 2025-09-15 18:00  BUY    3664.77    3684.18    19.41    WIN      market_signal   4
 127 2025-09-15 23:00  BUY    3681.12    3683.12     2.00    WIN        trailing_sl   3
 128 2025-09-16 07:00  BUY    3682.31    3693.92    11.61    WIN        take_profit   3
 129 2025-09-16 12:30  BUY    3696.42    3689.30   -14.24   LOSS     trend_reversal   3
 130 2025-09-16 18:00 SELL    3684.22    3682.22     4.00    WIN     breakeven_exit   4
 131 2025-09-16 23:00  BUY    3692.54    3690.86    -1.68   LOSS            timeout   3
 132 2025-09-17 06:30 SELL    3682.22    3678.86     3.36    WIN        trailing_sl   3
 133 2025-09-17 13:45 SELL    3661.46    3669.44   -15.96   LOSS          early_cut   3
 134 2025-09-17 17:30  BUY    3685.29    3686.07     1.56    WIN       peak_protect   3
 135 2025-09-17 23:00 SELL    3658.81    3656.81     2.00    WIN     breakeven_exit   4
 136 2025-09-18 07:15 SELL    3657.82    3655.82     2.00    WIN     breakeven_exit   3
 137 2025-09-18 10:45 SELL    3658.85    3656.85     4.00    WIN     breakeven_exit   3
 138 2025-09-18 14:00  BUY    3667.60    3669.60     4.00    WIN     breakeven_exit   3
 139 2025-09-18 18:00 SELL    3639.28    3641.84    -5.12   LOSS            timeout   3
 140 2025-09-19 01:30 SELL    3642.03    3640.03     2.00    WIN     breakeven_exit   3
 141 2025-09-19 05:30  BUY    3646.23    3656.00     9.77    WIN        take_profit   4
 142 2025-09-19 10:15  BUY    3652.73    3655.39     5.32    WIN     breakeven_exit   3
 143 2025-09-19 16:15  BUY    3655.53    3660.22     9.38    WIN     breakeven_exit   3
 144 2025-09-19 23:00  BUY    3681.55    3684.35     2.80    WIN      weekend_close   4
 145 2025-09-22 03:30  BUY    3689.28    3691.45     2.17    WIN     breakeven_exit   3
 146 2025-09-22 06:45  BUY    3695.23    3709.75    14.52    WIN        take_profit   3
 147 2025-09-22 12:30  BUY    3720.89    3724.21     6.64    WIN     breakeven_exit   3
 148 2025-09-22 17:45  BUY    3725.74    3736.22    20.96    WIN        trailing_sl   3
 149 2025-09-22 23:00  BUY    3745.52    3747.52     2.00    WIN     breakeven_exit   3
 150 2025-09-23 10:45  BUY    3753.17    3774.17    42.00    WIN           smart_tp   3
 151 2025-09-23 17:15 SELL    3770.86    3778.89   -16.06   LOSS          early_cut   3
 152 2025-09-23 20:30  BUY    3777.96    3756.59   -42.74   LOSS          early_cut   3
 153 2025-09-24 02:45 SELL    3763.51    3761.51     2.00    WIN     breakeven_exit   3
 154 2025-09-24 05:45 SELL    3756.82    3772.08   -15.26   LOSS          early_cut   3
 155 2025-09-24 10:45  BUY    3777.29    3764.89   -24.80   LOSS          early_cut   3
 156 2025-09-24 15:30  BUY    3765.22    3768.58     3.36    WIN     breakeven_exit   3
 157 2025-09-24 18:45 SELL    3740.95    3738.56     4.78    WIN     breakeven_exit   3
 158 2025-09-25 03:00  BUY    3749.75    3732.62   -17.13   LOSS          early_cut   3
 159 2025-09-25 07:45  BUY    3737.99    3742.72     4.73    WIN     breakeven_exit   3
 160 2025-09-25 12:15  BUY    3750.71    3753.93     6.44    WIN     breakeven_exit   4
 161 2025-09-25 16:30 SELL    3725.97    3734.70   -17.46   LOSS          early_cut   3
 162 2025-09-25 23:15 SELL    3748.71    3744.31     4.40    WIN     breakeven_exit   3
 163 2025-09-26 05:15 SELL    3740.77    3738.16     2.61    WIN     breakeven_exit   3
 164 2025-09-26 10:00 SELL    3743.06    3750.88   -15.64   LOSS          early_cut   3
 165 2025-09-26 13:45 SELL    3744.57    3764.35   -39.56   LOSS          early_cut   3
 166 2025-09-26 20:30  BUY    3782.57    3778.76    -3.81   LOSS      weekend_close   3
 167 2025-09-29 01:15 SELL    3767.47    3782.73   -15.26   LOSS          early_cut   3
 168 2025-09-29 11:15  BUY    3811.40    3815.64     4.24    WIN     breakeven_exit   3
 169 2025-09-29 15:00  BUY    3824.35    3826.35     2.00    WIN     breakeven_exit   4
 170 2025-09-29 23:45  BUY    3832.65    3835.44     2.79    WIN        trailing_sl   3
 171 2025-09-30 11:15 SELL    3823.53    3818.37    10.32    WIN        trailing_sl   4
 172 2025-09-30 18:15 SELL    3834.67    3843.04   -16.74   LOSS          early_cut   3
 173 2025-09-30 23:00  BUY    3852.91    3856.53     3.62    WIN     breakeven_exit   4
 174 2025-10-01 03:45  BUY    3860.44    3865.74     5.30    WIN        trailing_sl   3
 175 2025-10-01 08:00  BUY    3864.04    3877.02    12.98    WIN        take_profit   3
 176 2025-10-01 14:00 SELL    3882.94    3864.74    36.39    WIN        take_profit   4
 177 2025-10-01 18:15 SELL    3859.49    3870.23   -21.48   LOSS          early_cut   3
 178 2025-10-01 23:00 SELL    3862.02    3860.02     2.00    WIN     breakeven_exit   3
 179 2025-10-02 07:45 SELL    3864.09    3875.14   -11.05   LOSS     trend_reversal   3
 180 2025-10-02 17:45 SELL    3839.71    3837.71     4.00    WIN     breakeven_exit   4
 181 2025-10-02 23:45 SELL    3854.97    3852.97     2.00    WIN     breakeven_exit   3
 182 2025-10-03 07:00 SELL    3845.34    3860.55   -15.21   LOSS          early_cut   3
 183 2025-10-03 11:45  BUY    3864.67    3859.89    -9.56   LOSS     trend_reversal   3
 184 2025-10-03 17:00  BUY    3867.02    3876.01     8.99    WIN        trailing_sl   4
 185 2025-10-03 20:45  BUY    3881.84    3888.17    12.66    WIN      weekend_close   3
 186 2025-10-06 01:15  BUY    3893.88    3919.52    25.64    WIN        take_profit   3
 187 2025-10-06 05:15  BUY    3921.66    3936.72    15.06    WIN        trailing_sl   3
 188 2025-10-06 10:45  BUY    3941.42    3944.07     5.30    WIN     breakeven_exit   3
 189 2025-10-06 15:30 SELL    3931.51    3944.60   -26.18   LOSS          early_cut   3
 190 2025-10-06 19:00  BUY    3947.74    3953.80    12.12    WIN     breakeven_exit   3
 191 2025-10-06 23:30  BUY    3958.48    3969.97    11.49    WIN        trailing_sl   3
 192 2025-10-07 04:45  BUY    3957.97    3963.12     5.15    WIN        trailing_sl   3
 193 2025-10-07 09:45 SELL    3955.05    3953.05     4.00    WIN        trailing_sl   4
 194 2025-10-07 14:45  BUY    3966.78    3968.78     4.00    WIN     breakeven_exit   3
 195 2025-10-07 18:45 SELL    3965.92    3976.97   -22.10   LOSS          early_cut   4
 196 2025-10-08 01:00  BUY    3988.32    3995.31     6.99    WIN        trailing_sl   3
 197 2025-10-08 06:00  BUY    4013.27    4030.26    16.99    WIN        trailing_sl   4
 198 2025-10-08 11:00  BUY    4036.55    4046.08    19.06    WIN        trailing_sl   4
 199 2025-10-08 19:15  BUY    4055.42    4042.36   -26.12   LOSS          early_cut   4
 200 2025-10-09 01:00 SELL    4025.41    4016.91     8.50    WIN        trailing_sl   3
 201 2025-10-09 05:15 SELL    4013.12    4028.16   -15.04   LOSS          early_cut   3
 202 2025-10-09 09:00  BUY    4037.52    4025.88   -23.28   LOSS          early_cut   3
 203 2025-10-09 13:45  BUY    4044.16    4052.66     8.50    WIN        trailing_sl   3
 204 2025-10-09 18:45 SELL    4014.46    3986.23    56.46    WIN           smart_tp   4
 205 2025-10-10 02:15  BUY    3982.69    3985.01     2.32    WIN        trailing_sl   3
 206 2025-10-10 06:30 SELL    3964.45    3950.74    13.71    WIN        trailing_sl   4
 207 2025-10-10 11:15  BUY    3986.63    3997.45    21.64    WIN        trailing_sl   4
 208 2025-10-10 18:00  BUY    4009.04    4013.68     9.28    WIN     breakeven_exit   3
 209 2025-10-13 01:15  BUY    4039.82    4045.53     5.71    WIN     breakeven_exit   3
 210 2025-10-13 05:15  BUY    4045.98    4047.98     2.00    WIN        trailing_sl   3
 211 2025-10-13 09:30  BUY    4069.83    4071.83     4.00    WIN        trailing_sl   3
 212 2025-10-13 14:30  BUY    4077.04    4080.49     6.90    WIN     breakeven_exit   3
 213 2025-10-13 18:00  BUY    4096.69    4112.54    31.70    WIN        trailing_sl   3
 214 2025-10-14 02:00  BUY    4114.73    4125.20    10.47    WIN        trailing_sl   3
 215 2025-10-14 06:00  BUY    4154.41    4164.08     9.67    WIN        trailing_sl   3
 216 2025-10-14 09:45 SELL    4112.07    4119.68   -15.22   LOSS          early_cut   4
 217 2025-10-14 13:15 SELL    4139.20    4132.66    13.08    WIN        trailing_sl   3
 218 2025-10-14 16:45 SELL    4123.92    4140.93   -34.02   LOSS          early_cut   3
 219 2025-10-14 20:30  BUY    4149.12    4138.94   -20.36   LOSS          early_cut   3
 220 2025-10-15 02:00  BUY    4160.13    4162.13     2.00    WIN        trailing_sl   4
 221 2025-10-15 05:30  BUY    4171.41    4180.38     8.97    WIN        trailing_sl   3
 222 2025-10-15 08:45  BUY    4185.64    4188.71     3.07    WIN     breakeven_exit   4
 223 2025-10-15 19:30  BUY    4196.78    4188.72   -16.12   LOSS          early_cut   3
 224 2025-10-16 01:30  BUY    4215.12    4219.91     4.79    WIN     breakeven_exit   3
 225 2025-10-16 09:30  BUY    4218.50    4230.47    23.94    WIN        trailing_sl   3
 226 2025-10-16 13:15  BUY    4237.56    4239.67     4.22    WIN        trailing_sl   4
 227 2025-10-16 16:30  BUY    4255.50    4262.13    13.26    WIN        trailing_sl   3
 228 2025-10-16 19:45  BUY    4282.45    4287.76    10.62    WIN        trailing_sl   3
 229 2025-10-16 23:15  BUY    4315.50    4326.00    10.50    WIN        trailing_sl   4
 230 2025-10-17 05:30  BUY    4339.32    4341.32     2.00    WIN        trailing_sl   3
 231 2025-10-17 10:15 SELL    4338.75    4336.75     4.00    WIN     breakeven_exit   3
 232 2025-10-17 15:00 SELL    4315.01    4293.13    43.76    WIN           smart_tp   3
 233 2025-10-17 17:45 SELL    4248.64    4245.23     3.41    WIN     breakeven_exit   3
 234 2025-10-17 20:45 SELL    4220.83    4233.34   -25.02   LOSS           max_loss   3
 235 2025-10-17 23:30  BUY    4247.04    4247.38     0.34    WIN      weekend_close   4
 236 2025-10-20 03:15  BUY    4221.91    4255.59    33.68    WIN        take_profit   3
 237 2025-10-20 06:30  BUY    4254.98    4261.49     6.51    WIN        trailing_sl   3
 238 2025-10-20 09:30 SELL    4234.39    4254.48   -40.18   LOSS           max_loss   4
 239 2025-10-20 14:45  BUY    4279.10    4320.09    81.98    WIN           smart_tp   4
 240 2025-10-20 18:00  BUY    4346.12    4348.12     4.00    WIN     breakeven_exit   4
 241 2025-10-20 23:00  BUY    4359.90    4368.48     8.58    WIN     breakeven_exit   4
 242 2025-10-21 05:00 SELL    4345.40    4342.93     2.47    WIN        trailing_sl   4
 243 2025-10-21 08:45 SELL    4323.06    4343.04   -19.98   LOSS          early_cut   3
 244 2025-10-21 12:15 SELL    4270.90    4262.75    16.30    WIN        trailing_sl   3
 245 2025-10-21 16:00 SELL    4197.03    4173.85    46.36    WIN           smart_tp   4
 246 2025-10-21 23:30  BUY    4128.39    4092.93   -35.46   LOSS          early_cut   4
 247 2025-10-22 06:30  BUY    4138.77    4156.18    17.41    WIN        trailing_sl   3
 248 2025-10-22 12:15 SELL    4075.16    4065.73    18.86    WIN        trailing_sl   4
 249 2025-10-22 15:45 SELL    4033.43    4064.08   -61.30   LOSS           max_loss   3
 250 2025-10-22 18:30 SELL    4034.31    4032.31     4.00    WIN     breakeven_exit   3
 251 2025-10-22 23:15  BUY    4091.80    4098.80     7.00    WIN        trailing_sl   3
 252 2025-10-23 06:15  BUY    4095.17    4126.85    31.68    WIN        trailing_sl   3
 253 2025-10-23 11:45  BUY    4116.12    4118.84     5.44    WIN     breakeven_exit   3
 254 2025-10-23 15:45  BUY    4127.21    4131.83     9.24    WIN        trailing_sl   4
 255 2025-10-23 23:00 SELL    4113.05    4111.05     2.00    WIN     breakeven_exit   4
 256 2025-10-24 03:15  BUY    4132.69    4139.89     7.20    WIN     breakeven_exit   4
 257 2025-10-24 09:15 SELL    4089.59    4077.11    24.96    WIN        trailing_sl   3
 258 2025-10-24 13:30 SELL    4058.20    4056.20     4.00    WIN     breakeven_exit   3
 259 2025-10-24 16:30  BUY    4105.07    4132.16    54.18    WIN           smart_tp   4
 260 2025-10-24 20:00  BUY    4126.10    4111.95   -28.30   LOSS           max_loss   3
 261 2025-10-24 23:00 SELL    4100.07    4108.53    -8.46   LOSS      weekend_close   4
 262 2025-10-27 02:00 SELL    4069.12    4090.02   -20.90   LOSS          early_cut   3
 263 2025-10-27 06:00 SELL    4057.51    4073.49   -15.98   LOSS          early_cut   4
 264 2025-10-27 09:30  BUY    4070.31    4043.17   -27.14   LOSS          early_cut   3
 265 2025-10-27 14:00 SELL    4032.39    3994.19    38.20    WIN      market_signal   3
 266 2025-10-28 00:00 SELL    3985.16    4000.56   -15.40   LOSS          early_cut   3
 267 2025-10-28 04:00  BUY    4005.08    3983.68   -21.40   LOSS          early_cut   4
 268 2025-10-28 07:15 SELL    3975.14    3963.31    11.83    WIN        trailing_sl   3
 269 2025-10-28 15:15  BUY    3932.34    3935.68     6.68    WIN        trailing_sl   3
 270 2025-10-29 00:15 SELL    3946.31    3936.73     9.58    WIN     breakeven_exit   3
 271 2025-10-29 03:30  BUY    3967.32    3970.48     3.16    WIN     breakeven_exit   3
 272 2025-10-29 08:15  BUY    3970.44    3977.78     7.34    WIN        trailing_sl   3
 273 2025-10-29 18:00 SELL    3997.14    3995.14     4.00    WIN     breakeven_exit   3
 274 2025-10-30 00:00 SELL    3937.86    3956.29   -18.43   LOSS          early_cut   3
 275 2025-10-30 04:30 SELL    3936.77    3925.02    11.75    WIN        trailing_sl   3
 276 2025-10-30 07:45  BUY    3963.24    3973.88    10.64    WIN        trailing_sl   4
 277 2025-10-30 11:45  BUY    3998.67    3982.22   -32.90   LOSS          early_cut   4
 278 2025-10-30 15:00 SELL    3975.23    3972.51     5.44    WIN     breakeven_exit   3
 279 2025-10-30 18:00  BUY    3994.99    3999.56     9.14    WIN        trailing_sl   3
